보행자전용도로명,시도명,시군구명,법정동명,지정일자,운영방식구분,평일운영시작시각,평일운영종료시각,주말운영시작시각,주말운영종료시각,보행자전용도로시작점위도,보행자전용도로시작점경도,보행자전용도로종료점위도,보행자전용도로종료점경도,자전거보행자겸용도로구분,보행자전용도로폭,보차분리여부,지정목적,관리점검일자,관리점검결과,유지보수내용,영상정보기처리기기설치개수,보안등설치개수,횡단보도설치개수,방호울타리설치개수,차량진입억제용말뚝설치개수,속도저감시설설치개수,교통표지판설치개수,이정표설치개수,점자블럭설치개수,관리기관명,관리기관전화번호,데이터기준일자,제공기관코드,제공기관명
소로3-태평26호선,대전광역시,중구,태평동,2008-06-27,전일제,00:00,23:59,00:00,23:59,36.3257063,127.401618,36.3243533,127.401978,전용,4,Y,보행환경개선,2022-04-01,합격,,,,,,,,,,,대전광역시 중구청,042-606-6828,2022-08-01,3650000,대전광역시 중구
월곡로43길,대구광역시,달서구,상인동,,시간제,07:30,09:00,00:00,23:59,35.8132408,128.5406302,35.81410126,128.5416983,겸용,10,Y,보행환경개선,2020-05-30,합격,,,,,,,,,,,대구광역시 달서구청,053-667-3083,2022-07-27,3470000,대구광역시 달서구
월곡로43길,대구광역시,달서구,상인동,,시간제,12:00,15:00,00:00,23:59,35.8132408,128.5406302,35.81410126,128.5416983,겸용,10,Y,보행환경개선,2020-05-30,합격,,,,,,,,,,,대구광역시 달서구청,053-667-3083,2022-07-27,3470000,대구광역시 달서구
구마로36길,대구광역시,달서구,본동,,시간제,07:30,09:00,00:00,23:59,35.834981,128.546578,35.83490543,128.5453599,겸용,10,Y,보행환경개선,2020-05-30,합격,,,,,,,,,,,대구광역시 달서구청,053-667-3083,2022-07-27,3470000,대구광역시 달서구
구마로36길,대구광역시,달서구,본동,,시간제,12:00,15:00,00:00,23:59,35.834981,128.546578,35.83490543,128.5453599,겸용,10,Y,보행환경개선,2020-05-30,합격,,,,,,,,,,,대구광역시 달서구청,053-667-3083,2022-07-27,3470000,대구광역시 달서구
성당로47길,대구광역시,달서구,두류동,,시간제,08:00,09:00,00:00,23:59,35.85328801,128.5714817,35.85357518,128.5736316,겸용,8,N,보행환경개선,2020-05-30,합격,,,,,,,,,,,대구광역시 달서구청,053-667-3083,2022-07-27,3470000,대구광역시 달서구
성당로47길,대구광역시,달서구,두류동,,시간제,12:00,15:00,00:00,23:59,35.85328801,128.5714817,35.85357518,128.5736316,겸용,8,N,보행환경개선,2020-05-30,합격,,,,,,,,,,,대구광역시 달서구청,053-667-3083,2022-07-27,3470000,대구광역시 달서구
오산보행자도로-56,경기도,오산시,금암동,,전일제,00:00,23:59,00:00,23:59,37.171541,127.048061,37.171691,127.047991,,3, ,보행환경개선,2020-06-30,합격,,,,,,,,,,,경기도 오산시청,031-8036-7704,2022-07-20,4000000,경기도 오산시
오산보행자도로-57,경기도,오산시,금암동,,전일제,00:00,23:59,00:00,23:59,37.171871,127.048841,37.172011,127.048731,,3, ,보행환경개선,2020-06-30,합격,,,,,,,,,,,경기도 오산시청,031-8036-7704,2022-07-20,4000000,경기도 오산시
오산보행자도로-58,경기도,오산시,금암동,,전일제,00:00,23:59,00:00,23:59,37.172181,127.050211,37.172511,127.050321,,3, ,보행환경개선,2020-06-30,합격,,,,,,,,,,,경기도 오산시청,031-8036-7704,2022-07-20,4000000,경기도 오산시
오산보행자도로-59,경기도,오산시,금암동,,전일제,00:00,23:59,00:00,23:59,37.171871,127.050861,37.172071,127.051191,,3, ,보행환경개선,2020-06-30,합격,,,,,,,,,,,경기도 오산시청,031-8036-7704,2022-07-20,4000000,경기도 오산시
오산보행자도로-60,경기도,오산시,수청동,,전일제,00:00,23:59,00:00,23:59,37.170111,127.054981,37.172461,127.055491,,6, ,보행환경개선,2020-06-30,합격,,,,,,,,,,,경기도 오산시청,031-8036-7704,2022-07-20,4000000,경기도 오산시
오산보행자도로-61,경기도,오산시,수청동,,전일제,00:00,23:59,00:00,23:59,37.169681,127.056651,37.169681,127.056421,,3, ,보행환경개선,2020-06-30,합격,,,,,,,,,,,경기도 오산시청,031-8036-7704,2022-07-20,4000000,경기도 오산시
오산보행자도로-62,경기도,오산시,수청동,,전일제,00:00,23:59,00:00,23:59,37.169891,127.058241,37.169611,127.058251,,3, ,보행환경개선,2020-06-30,합격,,,,,,,,,,,경기도 오산시청,031-8036-7704,2022-07-20,4000000,경기도 오산시
오산보행자도로-63,경기도,오산시,수청동,,전일제,00:00,23:59,00:00,23:59,37.170231,127.060231,37.169931,127.060361,,3, ,보행환경개선,2020-06-30,합격,,,,,,,,,,,경기도 오산시청,031-8036-7704,2022-07-20,4000000,경기도 오산시
오산보행자도로-64,경기도,오산시,수청동,,전일제,00:00,23:59,00:00,23:59,37.169581,127.060511,37.169381,127.060591,,3, ,보행환경개선,2020-06-30,합격,,,,,,,,,,,경기도 오산시청,031-8036-7704,2022-07-20,4000000,경기도 오산시
오산보행자도로-65,경기도,오산시,수청동,,전일제,00:00,23:59,00:00,23:59,37.169261,127.059641,37.169071,127.059751,,3, ,보행환경개선,2020-06-30,합격,,,,,,,,,,,경기도 오산시청,031-8036-7704,2022-07-20,4000000,경기도 오산시
오산보행자도로-66,경기도,오산시,수청동,,전일제,00:00,23:59,00:00,23:59,37.168841,127.058491,37.168721,127.058571,,3, ,보행환경개선,2020-06-30,합격,,,,,,,,,,,경기도 오산시청,031-8036-7704,2022-07-20,4000000,경기도 오산시
오산보행자도로-67,경기도,오산시,수청동,,전일제,00:00,23:59,00:00,23:59,37.168911,127.057491,37.168811,127.057381,,3, ,보행환경개선,2020-06-30,합격,,,,,,,,,,,경기도 오산시청,031-8036-7704,2022-07-20,4000000,경기도 오산시
둔산중로-11,대전광역시,서구,둔산동,1989-12-23,전일제,00:00,23:59,00:00,23:59,36.3543650,127.3776480,36.3543690,127.3779130,,6, ,보행환경개선,2019-07-20,합격,,,,,,,,,,,대전광역시 서구청 건설과,042-288-3925,2022-09-19,3660000,대전광역시 서구
둔산중로-12,대전광역시,서구,둔산동,1989-12-23,전일제,00:00,23:59,00:00,23:59,36.3544240,127.3780940,36.3543620,127.3784450,,6, ,보행환경개선,2019-07-20,합격,,,,,,,,,,,대전광역시 서구청 건설과,042-288-3925,2022-09-19,3660000,대전광역시 서구
둔산중로-13,대전광역시,서구,둔산동,1989-12-23,전일제,00:00,23:59,00:00,23:59,36.3543770,127.3786940,36.3543550,127.3791900,,6, ,보행환경개선,2019-07-20,합격,,,,,,,,,,,대전광역시 서구청 건설과,042-288-3925,2022-09-19,3660000,대전광역시 서구
둔산중로-14,대전광역시,서구,둔산동,1989-12-23,전일제,00:00,23:59,00:00,23:59,36.3517540,127.3776000,36.3515200,127.3783030,,5, ,보행환경개선,2019-07-20,합격,,,,,,,,,,,대전광역시 서구청 건설과,042-288-3925,2022-09-19,3660000,대전광역시 서구
둔산중로-15,대전광역시,서구,둔산동,1989-12-23,전일제,00:00,23:59,00:00,23:59,36.3514180,127.3777500,36.3512480,127.3781030,,5, ,보행환경개선,2019-07-20,합격,,,,,,,,,,,대전광역시 서구청 건설과,042-288-3925,2022-09-19,3660000,대전광역시 서구
둔산중로-16,대전광역시,서구,둔산동,1989-12-23,전일제,00:00,23:59,00:00,23:59,36.3509630,127.3785960,36.3508750,127.3788290,,6, ,보행환경개선,2019-07-20,합격,,,,,,,,,,,대전광역시 서구청 건설과,042-288-3925,2022-09-19,3660000,대전광역시 서구
둔산중로-17,대전광역시,서구,둔산동,1989-12-23,전일제,00:00,23:59,00:00,23:59,36.3510520,127.3788530,36.3489200,127.3775250,,5, ,보행환경개선,2019-07-20,합격,,,,,,,,,,,대전광역시 서구청 건설과,042-288-3925,2022-09-19,3660000,대전광역시 서구
둔산중로-18,대전광역시,서구,둔산동,1989-12-23,전일제,00:00,23:59,00:00,23:59,36.3514950,127.3790000,36.3514550,127.3794270,,5, ,보행환경개선,2019-07-20,합격,,,,,,,,,,,대전광역시 서구청 건설과,042-288-3925,2022-09-19,3660000,대전광역시 서구
둔산중로-19,대전광역시,서구,둔산동,1989-12-23,전일제,00:00,23:59,00:00,23:59,36.3528000,127.3812250,36.3527730,127.3814560,,6, ,보행환경개선,2019-07-20,합격,,,,,,,,,,,대전광역시 서구청 건설과,042-288-3925,2022-09-19,3660000,대전광역시 서구
둔산중로-20,대전광역시,서구,둔산동,1989-12-23,전일제,00:00,23:59,00:00,23:59,36.3551470,127.3808260,36.3551440,127.3810820,,6, ,보행환경개선,2019-07-20,합격,,,,,,,,,,,대전광역시 서구청 건설과,042-288-3925,2022-09-19,3660000,대전광역시 서구
둔산중로-21,대전광역시,서구,둔산동,1989-12-23,전일제,00:00,23:59,00:00,23:59,36.3543710,127.3804600,36.3543820,127.3807430,,6, ,보행환경개선,2019-07-20,합격,,,,,,,,,,,대전광역시 서구청 건설과,042-288-3925,2022-09-19,3660000,대전광역시 서구
둔산중로-22,대전광역시,서구,둔산동,1989-12-23,전일제,00:00,23:59,00:00,23:59,36.3527950,127.3803980,36.3527870,127.3807350,,6, ,보행환경개선,2019-07-20,합격,,,,,,,,,,,대전광역시 서구청 건설과,042-288-3925,2022-09-19,3660000,대전광역시 서구
둔산중로-23,대전광역시,서구,둔산동,1989-12-23,전일제,00:00,23:59,00:00,23:59,36.3537080,127.3797420,36.3536850,127.3802050,,5, ,보행환경개선,2019-07-20,합격,,,,,,,,,,,대전광역시 서구청 건설과,042-288-3925,2022-09-19,3660000,대전광역시 서구
둔산중로-24,대전광역시,서구,둔산동,1989-12-23,전일제,00:00,23:59,00:00,23:59,36.3551060,127.3797580,36.3550870,127.3802060,,6, ,보행환경개선,2019-07-20,합격,,,,,,,,,,,대전광역시 서구청 건설과,042-288-3925,2022-09-19,3660000,대전광역시 서구
둔산중로-25,대전광역시,서구,둔산동,1989-12-23,전일제,00:00,23:59,00:00,23:59,36.3559530,127.3797370,36.3559290,127.3803210,,5, ,보행환경개선,2019-07-20,합격,,,,,,,,,,,대전광역시 서구청 건설과,042-288-3925,2022-09-19,3660000,대전광역시 서구
둔산중로-26,대전광역시,서구,둔산동,1989-12-23,전일제,00:00,23:59,00:00,23:59,36.3500380,127.3884680,36.3498780,127.3884700,,6, ,보행환경개선,2019-07-20,합격,,,,,,,,,,,대전광역시 서구청 건설과,042-288-3925,2022-09-19,3660000,대전광역시 서구
둔산중로-27,대전광역시,서구,둔산동,1989-12-23,전일제,00:00,23:59,00:00,23:59,36.3503740,127.3884660,36.3502000,127.3884730,,6, ,보행환경개선,2019-07-20,합격,,,,,,,,,,,대전광역시 서구청 건설과,042-288-3925,2022-09-19,3660000,대전광역시 서구
둔산중로-28,대전광역시,서구,둔산동,1989-12-23,전일제,00:00,23:59,00:00,23:59,36.3524430,127.3884730,36.3522000,127.3884780,,6, ,보행환경개선,2019-07-20,합격,,,,,,,,,,,대전광역시 서구청 건설과,042-288-3925,2022-09-19,3660000,대전광역시 서구
둔산중로-29,대전광역시,서구,둔산동,1989-12-23,전일제,00:00,23:59,00:00,23:59,36.3526770,127.3884630,36.3524380,127.3884650,,6, ,보행환경개선,2019-07-20,합격,,,,,,,,,,,대전광역시 서구청 건설과,042-288-3925,2022-09-19,3660000,대전광역시 서구
둔산중로-30,대전광역시,서구,둔산동,1989-12-23,전일제,00:00,23:59,00:00,23:59,36.3633310,127.3920000,36.3632280,127.3933700,,10, ,보행환경개선,2019-07-20,합격,,,,,,,,,,,대전광역시 서구청 건설과,042-288-3925,2022-09-19,3660000,대전광역시 서구
둔산중로-31,대전광역시,서구,둔산동,1989-12-23,전일제,00:00,23:59,00:00,23:59,36.3599440,127.3905660,36.3599300,127.3950900,,10, ,보행환경개선,2019-07-20,합격,,,,,,,,,,,대전광역시 서구청 건설과,042-288-3925,2022-09-19,3660000,대전광역시 서구
둔산중로-32,대전광역시,서구,둔산동,1989-12-23,전일제,00:00,23:59,00:00,23:59,36.3592320,127.3975850,36.3591920,127.3960690,,10, ,보행환경개선,2019-07-20,합격,,,,,,,,,,,대전광역시 서구청 건설과,042-288-3925,2022-09-19,3660000,대전광역시 서구
둔산중로-33,대전광역시,서구,둔산동,1989-12-23,전일제,00:00,23:59,00:00,23:59,36.3563400,127.3780000,36.3563400,127.3780000,,9, ,보행환경개선,2019-07-20,합격,,,,,,,,,,,대전광역시 서구청 건설과,042-288-3925,2022-09-19,3660000,대전광역시 서구
둔산중로-34,대전광역시,서구,둔산동,1989-12-23,전일제,00:00,23:59,00:00,23:59,36.3557480,127.3776360,36.3551870,127.3776240,,8, ,보행환경개선,2019-07-20,합격,,,,,,,,,,,대전광역시 서구청 건설과,042-288-3925,2022-09-19,3660000,대전광역시 서구
보행자전용도로-193,경기도,성남시,정자3동,,전일제,00:00,23:59,00:00,23:59,37.361142,127.122893,37.361118,127.121229,,15, ,보행환경개선,2022-10-18,합격,,,,,,,,,,,경기도 성남시 분당구청,031-729-7461,2022-10-23,3780000,경기도 성남시
보행자전용도로-194,경기도,성남시,정자3동,,전일제,00:00,23:59,00:00,23:59,37.359645,127.127817,37.359968,127.125752,,46, ,보행환경개선,2022-10-18,합격,,,,,,,,,,,경기도 성남시 분당구청,031-729-7461,2022-10-23,3780000,경기도 성남시
보행자전용도로-195,경기도,성남시,금곡동,,전일제,00:00,23:59,00:00,23:59,37.354951,127.111209,37.356088,127.111572,,8, ,보행환경개선,2022-10-18,합격,,,,,,,,,,,경기도 성남시 분당구청,031-729-7461,2022-10-23,3780000,경기도 성남시
보행자전용도로-196,경기도,성남시,금곡동,,전일제,00:00,23:59,00:00,23:59,37.354747,127.114017,37.353951,127.113271,,15, ,보행환경개선,2022-10-18,합격,,,,,,,,,,,경기도 성남시 분당구청,031-729-7461,2022-10-23,3780000,경기도 성남시
보행자전용도로-197,경기도,성남시,금곡동,,전일제,00:00,23:59,00:00,23:59,37.352838,127.112326,37.353629,127.112999,,15, ,보행환경개선,2022-10-18,합격,,,,,,,,,,,경기도 성남시 분당구청,031-729-7461,2022-10-23,3780000,경기도 성남시
보행자전용도로-198,경기도,성남시,금곡동,,전일제,00:00,23:59,00:00,23:59,37.351727,127.111373,37.352557,127.112096,,15, ,보행환경개선,2022-10-18,합격,,,,,,,,,,,경기도 성남시 분당구청,031-729-7461,2022-10-23,3780000,경기도 성남시
보행자전용도로-199,경기도,성남시,금곡동,,전일제,00:00,23:59,00:00,23:59,37.351298,127.111072,37.350671,127.111063,,15, ,보행환경개선,2022-10-18,합격,,,,,,,,,,,경기도 성남시 분당구청,031-729-7461,2022-10-23,3780000,경기도 성남시
보행자전용도로-200,경기도,성남시,금곡동,,전일제,00:00,23:59,00:00,23:59,37.350205,127.111054,37.350578,127.111063,,15, ,보행환경개선,2022-10-18,합격,,,,,,,,,,,경기도 성남시 분당구청,031-729-7461,2022-10-23,3780000,경기도 성남시
보행자전용도로-201,경기도,성남시,금곡동,,전일제,00:00,23:59,00:00,23:59,37.354948,127.108524,37.354956,127.106696,,15, ,보행환경개선,2022-10-18,합격,,,,,,,,,,,경기도 성남시 분당구청,031-729-7461,2022-10-23,3780000,경기도 성남시
보행자전용도로-202,경기도,성남시,금곡동,,전일제,00:00,23:59,00:00,23:59,37.353962,127.113178,37.354915,127.109065,,15, ,보행환경개선,2022-10-18,합격,,,,,,,,,,,경기도 성남시 분당구청,031-729-7461,2022-10-23,3780000,경기도 성남시
보행자전용도로-203,경기도,성남시,금곡동,,전일제,00:00,23:59,00:00,23:59,37.352337,127.116111,37.353563,127.113875,,15, ,보행환경개선,2022-10-18,합격,,,,,,,,,,,경기도 성남시 분당구청,031-729-7461,2022-10-23,3780000,경기도 성남시
보행자전용도로-204,경기도,성남시,구미동,,전일제,00:00,23:59,00:00,23:59,37.351308,127.117805,37.352101,127.116454,,15, ,보행환경개선,2022-10-18,합격,,,,,,,,,,,경기도 성남시 분당구청,031-729-7461,2022-10-23,3780000,경기도 성남시
보행자전용도로-205,경기도,성남시,구미동,,전일제,00:00,23:59,00:00,23:59,37.349089,127.118417,37.350705,127.118239,,15, ,보행환경개선,2022-10-18,합격,,,,,,,,,,,경기도 성남시 분당구청,031-729-7461,2022-10-23,3780000,경기도 성남시
보행자전용도로-206,경기도,성남시,구미동,,전일제,00:00,23:59,00:00,23:59,37.346648,127.118446,37.348487,127.118416,,15, ,보행환경개선,2022-10-18,합격,,,,,,,,,,,경기도 성남시 분당구청,031-729-7461,2022-10-23,3780000,경기도 성남시
보행자전용도로-207,경기도,성남시,구미동,,전일제,00:00,23:59,00:00,23:59,37.345171,127.118419,37.346373,127.118412,,15, ,보행환경개선,2022-10-18,합격,,,,,,,,,,,경기도 성남시 분당구청,031-729-7461,2022-10-23,3780000,경기도 성남시
보행자전용도로-208,경기도,성남시,구미동,,전일제,00:00,23:59,00:00,23:59,37.347474,127.108627,37.347501,127.107308,,8, ,보행환경개선,2022-10-18,합격,,,,,,,,,,,경기도 성남시 분당구청,031-729-7461,2022-10-23,3780000,경기도 성남시
보행자전용도로-209,경기도,성남시,구미동,,전일제,00:00,23:59,00:00,23:59,37.347505,127.109857,37.347512,127.109234,,8, ,보행환경개선,2022-10-18,합격,,,,,,,,,,,경기도 성남시 분당구청,031-729-7461,2022-10-23,3780000,경기도 성남시
보행자전용도로-210,경기도,성남시,구미동,,전일제,00:00,23:59,00:00,23:59,37.347479,127.110291,37.347492,127.109996,,8, ,보행환경개선,2022-10-18,합격,,,,,,,,,,,경기도 성남시 분당구청,031-729-7461,2022-10-23,3780000,경기도 성남시
보행자전용도로-211,경기도,성남시,구미동,,전일제,00:00,23:59,00:00,23:59,37.347504,127.110676,37.347498,127.110394,,8, ,보행환경개선,2022-10-18,합격,,,,,,,,,,,경기도 성남시 분당구청,031-729-7461,2022-10-23,3780000,경기도 성남시
보행자전용도로-212,경기도,성남시,구미동,,전일제,00:00,23:59,00:00,23:59,37.347674,127.111599,37.347664,127.111308,,8, ,보행환경개선,2022-10-18,합격,,,,,,,,,,,경기도 성남시 분당구청,031-729-7461,2022-10-23,3780000,경기도 성남시
보행자전용도로-213,경기도,성남시,구미동,,전일제,00:00,23:59,00:00,23:59,37.347683,127.111927,37.347683,127.111697,,8, ,보행환경개선,2022-10-18,합격,,,,,,,,,,,경기도 성남시 분당구청,031-729-7461,2022-10-23,3780000,경기도 성남시
보행자전용도로-214,경기도,성남시,구미동,,전일제,00:00,23:59,00:00,23:59,37.349202,127.111036,37.349461,127.111028,,6, ,보행환경개선,2022-10-18,합격,,,,,,,,,,,경기도 성남시 분당구청,031-729-7461,2022-10-23,3780000,경기도 성남시
보행자전용도로-215,경기도,성남시,구미동,,전일제,00:00,23:59,00:00,23:59,37.349572,127.111041,37.349853,127.111024,,6, ,보행환경개선,2022-10-18,합격,,,,,,,,,,,경기도 성남시 분당구청,031-729-7461,2022-10-23,3780000,경기도 성남시
보행자전용도로-216,경기도,성남시,구미동,,전일제,00:00,23:59,00:00,23:59,37.348633,127.111018,37.348499,127.111031,,6, ,보행환경개선,2022-10-18,합격,,,,,,,,,,,경기도 성남시 분당구청,031-729-7461,2022-10-23,3780000,경기도 성남시
노량진근린공원 진입로,서울특별시,동작구,노량진1동,,전일제,10:00,22:00,10:00,22:00,37.508607,126.952543,37.508818,126.953148,,3, ,보행환경개선,2020-12-31,합격,,,,,,,,,,,서울특별시 동작구청,02-820-1570,2022-07-07,3190000,서울특별시 동작구
상도근린공원 진입로,서울특별시,동작구,상도동,,시간제,10:00,17:00,10:00,17:00,37.493097,126.949381,37.493677,126.947809,,4, ,보행환경개선,2020-12-31,합격,,,,,,,,,,,서울특별시 동작구청,02-820-1570,2022-07-07,3190000,서울특별시 동작구
사육신묘 산책로,서울특별시,동작구,노량진1동,,시간제,10:00,17:00,10:00,17:00,37.515111,126.949985,37.513929,126.949587,,6, ,보행환경개선,2020-12-31,합격,,,,,,,,,,,서울특별시 동작구청,02-820-1570,2022-07-07,3190000,서울특별시 동작구
상도근린공원 산책로,서울특별시,동작구,상도동,,시간제,10:00,17:00,10:00,17:00,37.491171,126.953587,37.492541,126.956246,,4, ,보행환경개선,2020-12-31,합격,,,,,,,,,,,서울특별시 동작구청,02-820-1570,2022-07-07,3190000,서울특별시 동작구
청소년을 위한 차 없는 거리,경기도,동두천시,지행동,,주말제,00:00,00:00,10:00,18:00,37.895635,127.052064,37.893552,127.052509,겸용,12,N,주말여가장소제공,2020-05-04,합격,,0,0,1,0,0,0,0,0,0,경기도 동두천시청 여성청소년과,031-860-2852,2022-07-06,3920000,경기도 동두천시
외국인 관광특구 차 없는 거리_1,경기도,동두천시,보산동,2019-10-25,전일제,00:00,23:59,00:00,23:59,37.913843,127.057031,37.917827,127.056377,겸용,6,N,보행환경개선,2020-03-23,합격,,3,14,0,0,2,0,0,0,0,경기도 동두천시청 전략사업과,031-860-2852,2022-07-06,3920000,경기도 동두천시
외국인 관광특구 차 없는 거리_2,경기도,동두천시,보산동,2019-10-25,전일제,00:00,23:59,00:00,23:59,37.913956,127.056321,37.915284,127.056833,겸용,3,N,보행환경개선,2020-03-23,합격,,1,4,0,0,1,0,0,0,0,경기도 동두천시청 전략사업과,031-860-2852,2022-07-06,3920000,경기도 동두천시
오산보행자도로-79,경기도,오산시,외삼미동,,전일제,00:00,23:59,00:00,23:59,37.186121,127.049091,37.186751,127.048781,,3, ,보행환경개선,2020-06-30,합격,,,,,,,,,,,경기도 오산시청,031-8036-7704,2022-07-20,4000000,경기도 오산시
오산보행자도로-80,경기도,오산시,고현동,,전일제,00:00,23:59,00:00,23:59,37.135611,127.079931,37.135391,127.079311,,6, ,보행환경개선,2020-06-30,합격,,,,,,,,,,,경기도 오산시청,031-8036-7704,2022-07-20,4000000,경기도 오산시
오산보행자도로-81,경기도,오산시,고현동,,전일제,00:00,23:59,00:00,23:59,37.135461,127.079791,37.135161,127.080061,,6, ,보행환경개선,2020-06-30,합격,,,,,,,,,,,경기도 오산시청,031-8036-7704,2022-07-20,4000000,경기도 오산시
오산보행자도로-82,경기도,오산시,양산동,,전일제,00:00,23:59,00:00,23:59,37.193091,127.035931,37.193091,127.035711,,4, ,보행환경개선,2020-06-30,합격,,,,,,,,,,,경기도 오산시청,031-8036-7704,2022-07-20,4000000,경기도 오산시
오산보행자도로-83,경기도,오산시,양산동,,전일제,00:00,23:59,00:00,23:59,37.193771,127.034951,37.193591,127.034951,,4, ,보행환경개선,2020-06-30,합격,,,,,,,,,,,경기도 오산시청,031-8036-7704,2022-07-20,4000000,경기도 오산시
오산보행자도로-84,경기도,오산시,누읍동,,전일제,00:00,23:59,00:00,23:59,37.139531,127.052711,37.139431,127.052861,,4, ,보행환경개선,2020-06-30,합격,,,,,,,,,,,경기도 오산시청,031-8036-7704,2022-07-20,4000000,경기도 오산시
오산보행자도로-85,경기도,오산시,지곶동,,전일제,00:00,23:59,00:00,23:59,37.171391,127.028311,37.171821,127.026781,,6, ,보행환경개선,2020-06-30,합격,,,,,,,,,,,경기도 오산시청,031-8036-7704,2022-07-20,4000000,경기도 오산시
오산보행자도로-86,경기도,오산시,가장동,,전일제,00:00,23:59,00:00,23:59,37.162641,127.031911,37.162621,127.032161,,6, ,보행환경개선,2020-06-30,합격,,,,,,,,,,,경기도 오산시청,031-8036-7704,2022-07-20,4000000,경기도 오산시
오산보행자도로-87,경기도,오산시,가장동,,전일제,00:00,23:59,00:00,23:59,37.161941,127.032171,37.162131,127.032191,,6, ,보행환경개선,2020-06-30,합격,,,,,,,,,,,경기도 오산시청,031-8036-7704,2022-07-20,4000000,경기도 오산시
오산보행자도로-88,경기도,오산시,가장동,,전일제,00:00,23:59,00:00,23:59,37.161271,127.034551,37.161511,127.034591,,6, ,보행환경개선,2020-06-30,합격,,,,,,,,,,,경기도 오산시청,031-8036-7704,2022-07-20,4000000,경기도 오산시
오산보행자도로-89,경기도,오산시,가장동,,전일제,00:00,23:59,00:00,23:59,37.162371,127.035121,37.162411,127.034851,,6, ,보행환경개선,2020-06-30,합격,,,,,,,,,,,경기도 오산시청,031-8036-7704,2022-07-20,4000000,경기도 오산시
오산보행자도로-90,경기도,오산시,수청동,,전일제,00:00,23:59,00:00,23:59,37.170211,127.058091,37.170361,127.058081,,3, ,보행환경개선,2020-06-30,합격,,,,,,,,,,,경기도 오산시청,031-8036-7704,2022-07-20,4000000,경기도 오산시
