"행정구역별","시점",건수 (건),사망 (명),부상 (명),재산피해(계) (천원),부동산 (천원),동산 (천원),이재가구수 (가구),이재민수 (명)
"경기도","2011",10019,67,399,83971036,38354036,45617000,245,559
"경기도","2012",10159,61,526,103551635,43944321,59607314,202,477
"경기도","2013",9049,54,468,222216992,87881685,134335307,423,366
"경기도","2014",9675,77,558,181242957,78215992,103026965,182,348
"경기도","2015",10333,63,610,240336222,94128434,146207788,506,832
"경기도","2016",10147,70,510,188627284,74181115,114446169,203,495
"경기도","2017",9799,78,573,250321443,96478227,153843216,339,728
"경기도","2018",9632,62,537,270480468,114149503,156330965,356,733
"경기도","2019",9421,47,529,209842482,81365795,128476687,320,617
"경기도","2020",8920,114,485,321982790,113081627,208901163,263,580
"경기도","2021",8169,66,425,786079510,339202944,446876566,240,478
"강원도","2010",2430,13,93,11963566,4868107,7095459,90,186
"강원도","2011",2399,17,73,10550395,5249522,5300873,79,145
"강원도","2012",2403,8,163,11816150,6863721,4952429,97,198
"강원도","2013",2097,10,115,12143429,5920891,6222538,100,192
"강원도","2014",2182,20,96,13466380,7179677,6286703,87,167
"강원도","2015",2485,13,107,14723530,7306226,7417304,84,182
"강원도","2016",2315,20,99,12757524,7708704,5048820,57,123
"강원도","2017",2364,24,123,30228041,10198017,20030024,139,273
"강원도","2018",2228,14,132,27379587,9933793,17445794,121,251
"강원도","2019",1973,16,140,253916322,95161803,158754519,548,1258
"강원도","2020",1847,18,113,23683248,10125593,13557655,62,117
"강원도","2021",1780,19,141,35934573,13831432,22103141,73,159
"충청북도","2010",1351,15,72,17434906,7838999,9595907,66,146
"충청북도","2011",1376,7,87,13950143,5825340,8124803,59,103
"충청북도","2012",1377,15,109,11484722,5442163,6042559,47,96
"충청북도","2013",1345,16,88,9834530,4796887,5037643,49,101
"충청북도","2014",1316,6,71,14008756,6480544,7528212,69,132
"충청북도","2015",1373,18,51,13508677,6343234,7165443,49,110
"충청북도","2016",1379,12,38,13912203,6445284,7466919,34,70
"충청북도","2017",1554,41,107,30979634,15474177,15505457,34,49
"충청북도","2018",1414,19,93,21055464,7871983,13183481,45,97
"충청북도","2019",1594,15,163,40761515,16615397,24146118,53,100
"충청북도","2020",1523,11,155,20516030,8295767,12220263,44,79
"충청북도","2021",1382,11,94,38720076,18505539,20214537,81,91
"충청남도","2010",2994,18,117,27140238,12989752,14150486,112,255
"충청남도","2011",3089,17,107,17955682,9394583,8561099,98,207
"충청남도","2012",3219,15,86,22120415,10705845,11414570,83,168
"충청남도","2013",2657,26,70,24568566,12125646,12442920,106,210
"충청남도","2014",2838,21,65,20475505,9670113,10805392,99,206
"충청남도","2015",3031,17,45,17281830,8088926,9192904,105,232
"충청남도","2016",2825,12,46,20705376,10173454,10531922,89,161
"충청남도","2017",2775,19,30,26479876,12183415,14296461,128,228
"충청남도","2018",2605,21,52,25638551,12011902,13626649,97,176
"충청남도","2019",2193,33,63,19838416,8409275,11429141,106,161
"충청남도","2020",2075,17,46,22357086,8057276,14299810,99,189
"충청남도","2021",2015,17,55,38487507,15195757,23291750,76,153
"전라북도","2010",1660,20,54,10014594,4994316,5020278,71,159
"전라북도","2011",1562,15,48,8832448,4232279,4600169,61,120
"전라북도","2012",1537,11,85,10271318,5126550,5144768,55,121
"전라북도","2013",1569,13,71,10977138,5184852,5792286,56,108
"전라북도","2014",1652,13,57,10166416,5172054,4994362,66,134
"전라북도","2015",1962,10,60,7538440,3599357,3939083,62,91
"전라북도","2016",1983,17,39,9928265,5141936,4786329,71,135
"전라북도","2017",1974,15,69,20690454,9691735,10998719,68,121
"전라북도","2018",2044,21,112,14668751,6583331,8085420,69,117
"전라북도","2019",2154,13,62,16512913,7376740,9136173,57,102
"전라북도","2020",2223,17,52,19761665,8367458,11394207,48,92
"전라북도","2021",1984,10,80,19220779,10831162,8389617,55,125
"전라남도","2010",1822,10,54,10709209,5480347,5228862,105,224
"전라남도","2011",2053,13,48,15937995,7277249,8660746,103,200
"전라남도","2012",2425,24,53,18017219,7889148,10128071,108,234
"전라남도","2013",2480,30,110,15653543,7065196,8588347,114,237
"전라남도","2014",2620,43,131,20606435,8672713,11933722,125,243
"전라남도","2015",2647,11,104,19520216,7656023,11864193,109,223
"전라남도","2016",2454,21,89,15448305,7190179,8258126,87,152
"전라남도","2017",2963,19,99,24841124,9520704,15320420,95,186
"전라남도","2018",2635,17,81,28312162,9471302,18840860,84,168
"전라남도","2019",2645,23,101,26457996,9859615,16598381,114,221
"전라남도","2020",2472,22,98,29170700,11084647,18086053,115,222
"전라남도","2021",2473,21,65,21988766,9622920,12365846,156,298
"경상북도","2010",2957,28,122,16689655,7975838,8713817,76,146
"경상북도","2011",3231,20,119,21390054,7868214,13521840,108,214
"경상북도","2012",2843,16,84,18251335,8607111,9644224,96,200
"경상북도","2013",2737,16,130,25272260,11110523,14161737,145,296
"경상북도","2014",2803,20,134,18797795,8017539,10780256,71,114
"경상북도","2015",3068,18,113,17666841,8454598,9212243,83,177
"경상북도","2016",2651,14,113,24643788,11392963,13250825,78,144
"경상북도","2017",2817,27,127,25092858,11812007,13280851,104,195
"경상북도","2018",2686,22,158,34118375,14701579,19416796,87,161
"경상북도","2019",2511,15,179,57418027,24114086,33303941,141,304
"경상북도","2020",2863,27,157,47210705,12839422,34371283,105,173
"경상북도","2021",2849,21,188,38145736,15123537,23022199,129,234
"경상남도","2010",3341,24,126,23737838,10020691,13717147,87,165
"경상남도","2011",3641,18,104,30251070,12509706,17741364,87,164
"경상남도","2012",3551,18,115,31194907,12943721,18251186,93,173
"경상남도","2013",3416,26,114,35873612,15205363,20668249,126,233
"경상남도","2014",3622,17,93,27408231,10723814,16684417,116,213
"경상남도","2015",3960,18,140,29979992,9579934,20400058,92,161
"경상남도","2016",3756,29,101,25867929,9713204,16154725,44,83
"경상남도","2017",4117,24,86,30779725,15033344,15746381,75,136
"경상남도","2018",3482,56,265,23281562,9686008,13595554,67,136
"경상남도","2019",3212,26,97,24091350,9965677,14125673,60,109
"경상남도","2020",3173,21,100,38650924,18158264,20492660,54,115
"경상남도","2021",2864,21,106,24941813,10954619,13987194,65,127
"제주특별자치도","2010",687,4,27,6023936,872777,5151159,3,5
"제주특별자치도","2011",791,5,21,2497375,909650,1587725,4,9
"제주특별자치도","2012",691,6,17,5239573,2133873,3105700,3,9
"제주특별자치도","2013",739,12,49,4095792,1635825,2459967,7,18
"제주특별자치도","2014",587,5,26,1737413,749442,987971,10,21
"제주특별자치도","2015",604,5,26,4320424,1964274,2356150,20,41
"제주특별자치도","2016",574,1,14,5438344,1626373,3811971,7,17
"제주특별자치도","2017",751,5,19,3944602,2022493,1922109,9,15
"제주특별자치도","2018",636,4,23,3956895,1199603,2757292,5,8
"제주특별자치도","2019",607,3,33,2998401,1088297,1910104,6,15
"제주특별자치도","2020",515,12,14,4905209,1964304,2940905,8,15
"제주특별자치도","2021",544,3,19,6795271,2982411,3812860,13,21
