허가구역명,장소유형,시도명,시군구명,소재지도로명주소,소재지지번주소,위도,경도,푸드트럭운영대수,허가구역사용료,허가구역운영시작일자,허가구역운영종료일자,허가구역휴무일,허가구역평일운영시작시각,허가구역평일운영종료시각,허가구역주말운영시작시각,허가구역주말운영종료시각,1월운영시작시각,1월운영종료시각,2월운영시작시각,2월운영종료시각,3월운영시작시각,3월운영종료시각,4월운영시작시각,4월운영종료시각,5월운영시작시각,5월운영종료시각,6월운영시작시각,6월운영종료시각,7월운영시작시각,7월운영종료시각,8월운영시작시각,8월운영종료시각,9월운영시작시각,9월운영종료시각,10월운영시작시각,10월운영종료시각,11월운영시작시각,11월운영종료시각,12월운영시작시각,12월운영종료시각,판매제한품목,관리기관명,관리기관전화번호,데이터기준일자,제공기관코드,제공기관명
이순신공원,2,경상남도,통영시,,경상남도 통영시 정량동 685-2,34.8443048286,128.4415905758,3,년 94200원,2022-01-04,2026-12-31,연중무휴,09:00,18:00,09:00,18:00,09:00,18:00,09:00,18:00,09:00,18:00,09:00,18:00,09:00,18:00,09:00,18:00,09:00,18:00,09:00,18:00,09:00,18:00,09:00,18:00,09:00,18:00,09:00,18:00,,경상남도 통영시,055-650-6023,2022-01-24,5330000,경상남도 통영시
우포늪생태공원,2,경상남도,창녕군,,경상남도 창녕군 유어면 세진리 251-1,35.5446639943,128.4181994553,1,0,2020-02-01,2022-01-31,연중무휴,09:00,22:00,09:00,22:00,09:00,20:00,09:00,20:00,09:00,22:00,09:00,22:00,09:00,22:00,09:00,22:00,09:00,22:00,09:00,22:00,09:00,22:00,09:00,22:00,09:00,22:00,09:00,20:00,허가품목 외,경상남도 창녕군청,055-530-1094,2022-01-14,5410000,경상남도 창녕군
남지읍수변생태공원,5,경상남도,창녕군,,경상남도 창녕군 남지읍 남지리 835-16,35.3846449917,128.4740152549,3,0,2019-09-13,2021-09-12,연중무휴,09:00,22:00,09:00,22:00,09:00,20:00,09:00,20:00,09:00,22:00,09:00,22:00,09:00,22:00,09:00,22:00,09:00,22:00,09:00,22:00,09:00,22:00,09:00,22:00,09:00,22:00,09:00,20:00,허가품목 외,경상남도 창녕군청,055-530-1094,2022-01-14,5410000,경상남도 창녕군
낙동강하천공원주차장,5,경상남도,창녕군,,경상남도 창녕군 남지읍 용산리 160-2,35.3945503803,128.440563,1,0,2020-10-18,2022-10-17,연중무휴,09:00,22:00,09:00,22:00,09:00,20:00,09:00,20:00,09:00,22:00,09:00,22:00,09:00,22:00,09:00,22:00,09:00,22:00,09:00,22:00,09:00,22:00,09:00,22:00,09:00,22:00,09:00,20:00,허가품목 외,경상남도 창녕군청,055-530-1094,2022-01-14,5410000,경상남도 창녕군
풍암호수공원,4,광주광역시,서구,광주광역시 서구 풍암동 491-3,광주광역시 서구 풍암동 491-3,35.1264207,126.868935,1,연 25930,2021-08-12,2023-07-31,연중무휴,10:00,19:00,10:00,19:00,10:00,17:00,10:00,17:00,10:00,19:00,10:00,19:00,10:00,19:00,10:00,21:00,10:00,21:00,10:00,21:00,10:00,21:00,10:00,19:00,10:00,17:00,10:00,17:00,영업신고 외 품목 판매금지,광주광역시 서구청,062-350-4938,2022-11-21,3600000,광주광역시 서구
입곡군립공원 주차장,2,경상남도,함안군,,경상남도 함안군 산인면 입곡리 1181,,,1,7370원/연,2016-10-10,2022-10-09,연중무휴,09:00,18:00,09:00,18:00,09:00,18:00,09:00,18:00,09:00,18:00,09:00,18:00,09:00,18:00,09:00,18:00,09:00,18:00,09:00,18:00,09:00,18:00,09:00,18:00,09:00,18:00,09:00,18:00,주류+담배,함안군,055-580-3413,2022-11-09,5400000,경상남도 함안군
입곡군립공원 아라힐링카페,2,경상남도,함안군,,경상남도 함안군 산인면 입곡리 1310,,,1,2530원/연,2018-11-14,2024-11-13,연중무휴,09:00,18:00,09:00,18:00,09:00,18:00,09:00,18:00,09:00,18:00,09:00,18:00,09:00,18:00,09:00,18:00,09:00,18:00,09:00,18:00,09:00,18:00,09:00,18:00,09:00,18:00,09:00,18:00,주류+담배,함안군,055-580-3413,2022-11-09,5400000,경상남도 함안군
악양생태공원,4,경상남도,함안군,,경상남도 함안군 대산면 하기리 806,,,1,4370원/연,2018-12-06,2024-12-05,성수기 외 휴무,09:00,18:00,09:00,18:00,09:00,18:00,09:00,18:00,09:00,18:00,09:00,18:00,09:00,18:00,09:00,18:00,09:00,18:00,09:00,18:00,09:00,18:00,09:00,18:00,09:00,18:00,09:00,18:00,주류+담배,함안군,055-580-3433,2022-11-09,5400000,경상남도 함안군
연꽃테마파크,4,경상남도,함안군,,경상남도 함안군 가야읍 가야리 12-6,,,1,4370원/연,2018-12-06,2024-12-05,성수기 외 휴무,09:00,18:00,09:00,18:00,09:00,18:00,09:00,18:00,09:00,18:00,09:00,18:00,09:00,18:00,09:00,18:00,09:00,18:00,09:00,18:00,09:00,18:00,09:00,18:00,09:00,18:00,09:00,18:00,주류+담배,함안군,055-580-3433,2022-11-09,5400000,경상남도 함안군
강나루생태공원,5,경상남도,함안군,,경상남도 함안군 칠서면 이룡리 996-8,,,1,4554원/연,2015-07-16,2025-07-15,연중무휴,09:00,18:00,09:00,18:00,09:00,18:00,09:00,18:00,09:00,18:00,09:00,18:00,09:00,18:00,09:00,18:00,09:00,18:00,09:00,18:00,09:00,18:00,09:00,18:00,09:00,18:00,09:00,18:00,주류+담배,함안군,055-580-3414,2022-11-09,5400000,경상남도 함안군
해운대구청,08,부산광역시,해운대구,부산광역시 해운대구 중동2로 11,부산광역시 해운대구 중동 1378-95,35.1631596,129.1635629,1,연간 2523950원,2017-01-01,2022-12-31,일요일 휴무,08:00,18:00,08:00,18:00,,,,,,,,,,,,,,,,,,,,,,,,,주류,부산광역시 해운대구청,051-749-4404,2022-10-17,3330000,부산광역시 해운대구
부산시청 푸드트럭존,8,부산광역시,연제구,부산광역시 연제구 중앙대로 1001,부산광역시 연제구 연산동 1000,35.17992599,129.0750952,2,0,2017-12-22,2018-12-22,연중무휴,00:00,23:59,00:00,23:59,,,,,,,,,,,,,,,,,,,,,,,,,,연제구청,051-665-4411,2022-10-20,3370000,부산광역시 연제구
아시아드주경기장,8,부산광역시,연제구,부산광역시 연제구 월드컵대로 344,부산광역시 연제구 거제동 1299,35.19008744,129.058356,7,0,2017-11-23,2018-10-31,연중무휴,00:00,23:59,00:00,23:59,,,,,,,,,,,,,,,,,,,,,,,,,,연제구청,051-665-4411,2022-10-20,3370000,부산광역시 연제구
신라대학교 대운동장,7,부산광역시,사상구,"부산광역시 사상구 백양대로700번길 140, 신라대학교 대운동장 (괘법동)",부산광역시 사상구 괘법동 산 1-23,,,1,0,2022-10-26,2022-10-27,운영종료(행사기간 중 한시적 운영),10:00,21:00,00:00,00:00,,,,,,,,,,,,,,,,,,,,,,,,,,부산광역시 사상구청,051-310-4404,2022-11-21,3390000,부산광역시 사상구
대화전통시장,99,강원도,평창군,강원도 평창군 대화면 대화3길 41,강원도 평창군 대화리 1001-171,37.50069585,128.4547123,,0,2020-04-24,2030-12-31,4일+9일+14일+19일+24일+29일,09:00,19:00,09:00,19:00,09:00,19:00,09:00,19:00,09:00,19:00,09:00,19:00,09:00,19:00,09:00,19:00,09:00,19:00,09:00,19:00,09:00,19:00,09:00,19:00,09:00,19:00,09:00,19:00,주류,평창군,033-330-2314,2022-09-26,4280000,강원도 평창군
마하생태관광단지,2,강원도,평창군,강원도 평창군 미탄면 문희길 63,강원도 평창군 미탄면 마하리 82,37.2778622165,128.5770658685,,0,2019-05-01,2030-12-31,연중무휴,09:00,19:00,09:00,19:00,09:00,19:00,09:00,19:00,09:00,19:00,09:00,19:00,09:00,19:00,09:00,19:00,09:00,19:00,09:00,19:00,09:00,19:00,09:00,19:00,09:00,19:00,09:00,19:00,주류,평창군,033-330-2314,2022-09-26,4280000,강원도 평창군
봉평전통시장,99,강원도,평창군,강원도 평창군 봉평면 허생원장터길 15,강원도 평창군 봉평면 창동로 397-34,37.6155917832,128.3772803,,0,2020-04-24,2030-12-31,2일+7일+12일+17일+22일+27일,09:00,19:00,09:00,19:00,09:00,19:00,09:00,19:00,09:00,19:00,09:00,19:00,09:00,19:00,09:00,19:00,09:00,19:00,09:00,19:00,09:00,19:00,09:00,19:00,09:00,19:00,09:00,19:00,주류,평창군,033-330-2314,2022-09-26,4280000,강원도 평창군
알펜시아 리조트,2,강원도,평창군,강원도 평창군 대관령면 솔봉로 325,강원도 평창군 대관령면 용산리 195-1,37.6592541743,128.6840106671,,0,2019-05-01,2030-12-31,연중무휴,09:00,19:00,09:00,19:00,09:00,19:00,09:00,19:00,09:00,19:00,09:00,19:00,09:00,19:00,09:00,19:00,09:00,19:00,09:00,19:00,09:00,19:00,09:00,19:00,09:00,19:00,09:00,19:00,주류,평창군,033-330-2314,2022-09-26,4280000,강원도 평창군
용평리조트,2,강원도,평창군,강원도 평창군 대관령면 올림픽로 715,강원도 평창군 대관령면 용산리 130,37.6509444362,128.7055568606,,0,2019-05-01,2030-12-31,연중무휴,09:00,19:00,09:00,19:00,09:00,19:00,09:00,19:00,09:00,19:00,09:00,19:00,09:00,19:00,09:00,19:00,09:00,19:00,09:00,19:00,09:00,19:00,09:00,19:00,09:00,19:00,09:00,19:00,주류,평창군,033-330-2314,2022-09-26,4280000,강원도 평창군
진부전통시장,99,강원도,평창군,강원도 평창군 진부면 진부새싹길 28-7,강원도 평창군 진부면 하진부리 206-95,37.638231,128.5579259,,0,2020-04-24,2030-12-31,3일+8일+13일+18일+23일+28일,09:00,19:00,09:00,19:00,09:00,19:00,09:00,19:00,09:00,19:00,09:00,19:00,09:00,19:00,09:00,19:00,09:00,19:00,09:00,19:00,09:00,19:00,09:00,19:00,09:00,19:00,09:00,19:00,주류,평창군,033-330-2314,2022-09-26,4280000,강원도 평창군
평창 휘닉스파크,2,강원도,평창군,강원도 평창군 봉평면 태기로 174,강원도 평창군 봉평면 면온리 1095-1,37.5824634130,128.3268677594,,0,2019-05-01,2030-12-31,연중무휴,09:00,19:00,09:00,19:00,09:00,19:00,09:00,19:00,09:00,19:00,09:00,19:00,09:00,19:00,09:00,19:00,09:00,19:00,09:00,19:00,09:00,19:00,09:00,19:00,09:00,19:00,09:00,19:00,주류,평창군,033-330-2314,2022-09-26,4280000,강원도 평창군
평창전통시장,99,강원도,평창군,강원도 평창군 평창읍 평창시장1길 8-1,강원도 평창군 평창읍 하리 55-6,37.36684873,128.3945773,,0,2020-04-24,2030-12-31,5일+10일+15일+20일+25일+30일,09:00,19:00,09:00,19:00,09:00,19:00,09:00,19:00,09:00,19:00,09:00,19:00,09:00,19:00,09:00,19:00,09:00,19:00,09:00,19:00,09:00,19:00,09:00,19:00,09:00,19:00,09:00,19:00,주류,평창군,033-330-2314,2022-09-26,4280000,강원도 평창군
광명동굴 내,04,경기도,광명시,경기도 광명시 가학로85번길 142,경기도 광명시 가학동 27,37.42467857,126.8634321,3,연 7000원~8000원,2017-01-09,2022-09-30,연중무휴,09:00,18:00,09:00,18:00,,,,,,,,,,,,,09:00,18:00,09:00,18:00,09:00,18:00,,,,,,,,경기도 광명시 생활위생과,02-2680-5483,2022-09-28,3900000,경기도 광명시
안양천 햇무리광장,05,경기도,광명시,,경기도 광명시 철산동   459,37.4825283576,126.8720358,2,연 37400원,2022-03-14,2022-12-31,연중무휴,10:00,21:00,10:00,21:00,,,,,,,,,,,,,,,,,,,,,,,,,,경기도 광명시 생활위생과,02-2680-2985,2022-09-28,3900000,경기도 광명시
오장폭포주차장,2,강원도,정선군,,강원도 정선군 여량면 구절리 산 2,37.52001009,128.7337022,1,10만원(10년치),2017-01-19,2027-01-19,연중무휴,09:00,17:00,09:00,17:00,09:00,17:00,09:00,17:00,09:00,17:00,09:00,17:00,09:00,17:00,09:00,17:00,09:00,17:00,09:00,17:00,09:00,17:00,09:00,17:00,09:00,17:00,09:00,17:00,식품외품목,강원도 정선군청,033-560-2010,2022-09-26,4290000,강원도 정선군
만항재,2,강원도,정선군,강원도 정선군 고한읍 함백산로 865,강원도 정선군 고한읍 고한리 산 215-3,37.1485691,128.8989922,1,120만원(1년치),2017-06-12,2018-06-12,연중무휴,10:00,17:00,08:30,18:00,10:00,17:00,10:00,17:00,10:00,17:00,10:00,17:00,10:00,17:00,10:00,17:00,10:00,17:00,10:00,17:00,10:00,17:00,10:00,17:00,10:00,17:00,10:00,17:00,식품외품목,강원도 정선군청,033-560-2010,2022-09-26,4290000,강원도 정선군
강변축구장,3,대구광역시,북구,대구광역시 북구 조야로2길 113-30(서변동),대구광역시 북구 서변동 1568-2,35.90898711,128.5903467,,월 89480원,2016-05-25,2018-05-22,비정기적+우천시휴무,00:00,23:59,00:00,23:59,,,,,,,,,,,,,,,,,,,,,,,,,,대구광역시 북구청 위생과,053-665-2754,2022-09-08,3450000,대구광역시 북구
검단졸음쉼터(부산방향),7,대구광역시,북구,대구광역시 북구 경부고속도로 131(검단동),대구광역시 북구 검단동 543-2,35.91491799,128.6134753,,월매출액의 1퍼센트,2016-06-28,2020-07-15,연중무휴,07:00,19:00,07:00,19:00,,,,,,,,,,,,,,,,,,,,,,,,,,대구광역시 북구청 위생과,053-665-2754,2022-09-08,3450000,대구광역시 북구
검단졸음쉼터(서울방향),7,대구광역시,북구,,대구광역시 북구 검단동 376-11,35.91588964,128.6152014,,월매출액의 1퍼센트,2016-06-28,2018-06-30,연중무휴,07:00,19:00,07:00,19:00,,,,,,,,,,,,,,,,,,,,,,,,,,대구광역시 북구청 위생과,053-665-2754,2022-09-08,3450000,대구광역시 북구
구수산도서관 주차장,8,대구광역시,북구,대구광역시 북구 대천로 21(읍내동),대구광역시 북구 읍내동 967-1,35.93874352,128.5524048,,월 89480원,2016-12-27,2017-12-26,비정기적+우천시휴무,00:00,23:59,00:00,23:59,,,,,,,,,,,,,,,,,,,,,,,,,,대구광역시 북구청 위생과,053-665-2754,2022-09-08,3450000,대구광역시 북구
북구청광장,8,대구광역시,북구,대구광역시 북구 옥산로 65(침산동),대구광역시 북구 침산동 447-16,35.8856843,128.5827802,,0,2017-10-13,2017-10-13,비정기적+우천시휴무,00:00,23:59,00:00,23:59,,,,,,,,,,,,,,,,,,,,,,,,,,대구광역시 북구청 위생과,053-665-2754,2022-09-08,3450000,대구광역시 북구
검단파크골프장,3,대구광역시,북구,,대구광역시 북구 검단동 277,35.92459946,128.6206696,,연 234550원,2021-07-01,2023-06-30,비정기적+우천시휴무,09:00,18:00,09:00,18:00,,,,,,,,,,,,,,,,,,,,,,,,,,대구광역시 북구청 위생과,053-665-2754,2022-09-08,3450000,대구광역시 북구
곡교천 은행나무길,5,충청남도,아산시,,충청남도 아산시 염치읍 송곡리 113-2,,,5,"898,540",2021-06-09,2022-06-08,매주 월요일+신정+설날+추석 전일+추석 당일,11:00,18:00,11:00,18:00,,,,,,,,,,,,,,,,,,,,,,,,,,프라미스온㈜,041-545-1171,2021-12-14,4520000,충청남도 아산시
인천대학교 BTL생활원 부속시설,6,인천광역시,연수구,"인천광역시 연수구 아카데미로 119, 인천대학교 BTL생활원 부속시설",인천광역시 연수구 송도동12-1,37.37785571,126.6325053,1,-,2018-04-24,2023-02-01,"토요일,일요일",10:00,19:00,00:00,00:00,,,,,,,,,,,,,,,,,,,,,,,,,,미래행복(주),032-556-4503,2021-10-25,3520000,인천광역시 연수구
진주네 분식,99,충청북도,흥덕구,"충청북도 청주시 흥덕구 강내면 탑연월곡길 62-13, 오작교광장호 (청원쌍용예가 1단지아파트)",충청북도 청주시 흥덕구 강내면 월곡리 428 청원쌍용예가 1단지아파트,,,,0,2021-05-10,2021-07-22,연중무휴,10:00,20:00,10:00,20:00,,,,,,,,,,,,,,,,,,,,,,,,,,충청북도 청주시 흥덕구청,043-201-1972,2022-08-18,5710000,충청북도 청주시
광수식품,99,충청북도,흥덕구,충청북도 청주시 흥덕구 강내면 탑연월곡길 62-13 (청원쌍용예가 1단지아파트),충청북도 청주시 흥덕구 강내면 월곡리 428 청원쌍용예가 1단지아파트,,,,0,2021-05-24,2023-07-22,연중무휴,10:00,20:00,10:00,20:00,,,,,,,,,,,,,,,,,,,,,,,,,,충청북도 청주시 흥덕구청,043-201-1972,2022-08-18,5710000,충청북도 청주시
압구정로,99,서울특별시,강남구,서울특별시 강남구 압구정로32길 38,서울특별시 강남구 신사동 604,37.52538646,127.0296223,1,210100,2021-05-17,2022-12-31,연중무휴,11:30,22:00,11:30,22:00,11:30,22:00,11:30,22:00,11:30,22:00,11:30,22:00,11:30,22:00,11:30,22:00,11:30,22:00,11:30,22:00,11:30,22:00,11:30,22:00,11:30,22:00,11:30,22:00,,서울특별시 강남구청,02-3423-6532,2022-12-01,3220000,서울특별시 강남구
테헤란로64길,99,서울특별시,강남구,서울특별시 강남구 테헤란로64길 19,서울특별시 강남구 대치동 890-57,37.50377347,127.0518024,1,609020,2022-02-15,2022-12-31,연중무휴,11:30,22:00,11:30,22:00,11:30,22:00,11:30,22:00,11:30,22:00,11:30,22:00,11:30,22:00,11:30,22:00,11:30,22:00,11:30,22:00,11:30,22:00,11:30,22:00,11:30,22:00,11:30,22:00,,서울특별시 강남구청,02-3423-6532,2022-12-01,3220000,서울특별시 강남구
원산도 체육공원 푸드존,3,충청남도,보령시,,충청남도 보령시 오천면 원산도리 975-2,,,,연 38500원,2022-04-01,2024-12-31,연중무휴,00:00,23:59,00:00,23:59,,,,,,,,,,,,,,,,,,,,,,,,,,충청남도 보령시청 원산도출장소,041-936-1760,2022-11-30,4510000,충청남도 보령시
원산도 해수욕장 푸드존,1,충청남도,보령시,,충청남도 보령시 오천면 원산도리 1860-13,,,,연 188950원,2021-10-01,2024-12-31,연중무휴,00:00,23:59,00:00,23:59,,,,,,,,,,,,,,,,,,,,,,,,,,충청남도 보령시청 원산도출장소,041-936-1760,2022-11-30,4510000,충청남도 보령시
서울혁신파크,08,서울특별시,은평구,서울특별시 은평구 통일로 684,서울특별시 은평구 녹번동 5-29,37.6084420000,126.9334960000,1,"년 1,826,770원",2017-03-14,2020-12-31,미운영,00:00,00:00,00:00,00:00,,,,,,,,,,,,,,,,,,,,,,,,,,서울특별시 은평구,02-351-8175,2021-08-10,3110000,서울특별시 은평구
수제생통까스,99,충청북도,흥덕구,"충청북도 청주시 흥덕구 송화로214번길 7, 푸드트럭호 (송절동, 청주테크노폴리스푸르지오)",충청북도 청주시 흥덕구 송절동 851 청주테크노폴리스푸르지오,,,,0,2021-01-25,2023-05-10,연중무휴,10:00,20:00,10:00,20:00,,,,,,,,,,,,,,,,,,,,,,,,,,충청북도 청주시 흥덕구청,043-201-1972,2022-08-18,5710000,충청북도 청주시
수제 타코야끼,99,충청북도,흥덕구,"충청북도 청주시 흥덕구 송화로214번길 7, 1층 (송절동, 청주테크노폴리스푸르지오)",충청북도 청주시 흥덕구 송절동 851 청주테크노폴리스푸르지오,,,,0,2021-02-01,2022-05-10,연중무휴,10:00,20:00,10:00,20:00,,,,,,,,,,,,,,,,,,,,,,,,,,충청북도 청주시 흥덕구청,043-201-1972,2022-08-18,5710000,충청북도 청주시
호식이빵,99,충청북도,흥덕구,"충청북도 청주시 흥덕구 송화로214번길 7 (송절동, 청주테크노폴리스푸르지오)",충청북도 청주시 흥덕구 송절동 851 청주테크노폴리스푸르지오,,,,0,2021-04-27,2023-05-10,연중무휴,10:00,20:00,10:00,20:00,,,,,,,,,,,,,,,,,,,,,,,,,,충청북도 청주시 흥덕구청,043-201-1972,2022-08-18,5710000,충청북도 청주시
양재역 5번,99,서울특별시,서초구,서울특별시 서초구 남부순환로350길 4,서울특별시 서초구 양재동 12-3,37.48433811,127.035167,2,796400,2017-01-01,2022-12-31,연중무휴,12:00,23:00,12:00,23:00,12:00,23:00,12:00,23:00,12:00,23:00,12:00,23:00,12:00,23:00,12:00,23:00,12:00,23:00,12:00,23:00,12:00,23:00,12:00,23:00,12:00,23:00,12:00,23:00,,서울특별시 서초구,02-2155-6954,2022-11-25,3210000,서울특별시 서초구
고속국도 졸음쉼터,1,경기도,양주시,경기도 양주시 장흥면 서울외곽순환고속도로 58,경기도 양주시 장흥면 삼하리 250-16,37.67919783,126.9157818,1,월6500000원,2016-02-05,2022-02-28,토요일+일요일+공휴일,00:00,00:00,00:00,00:00,,,,,,,,,,,,,,,,,,,,,,,,,,경기도 양주시청 위생과,031-8082-5292,2022-06-29,5590000,경기도 양주시
수성랜드,1,대구광역시,수성구,대구광역시 수성구 용학로 35-5(상동),대구광역시 수성구 상동 725,35.82683142,128.6128426,1,0,2021-05-01,2021-07-31,토요일+일요일,00:00,00:00,00:00,00:00,,,,,,,,,,,,,,,,,,,,,,,,,,대구광역시 수성구 식품위생과,053-666-2761,2022-07-01,3460000,대구광역시 수성구
경부선연곡졸음쉼터내영업허용장소,07,충청남도,천안시,,충청남도 천안시 서북구 입장면 연곡리 243-5,36.95431265,127.1830068,1,"최초6개월미부과,이후 6개월은 푸드트럭사업 사용료를 운영종료시 일할계산",2022-01-13,2023-01-12,연중무휴,08:00,19:00,08:00,19:00,08:00,19:00,08:00,19:00,08:00,19:00,08:00,19:00,08:00,19:00,08:00,19:00,08:00,19:00,08:00,19:00,08:00,19:00,08:00,19:00,08:00,19:00,08:00,19:00,주류,충청남도 천안시 서북구청 환경위생과,041-521-6323,2022-06-13,4490000,충청남도 천안시
아파트내 장터,99,충청남도,천안시,"충청남도 천안시 서북구 스마일시티2로 2 (차암동, e편한세상 스마일시티 2차)",충청남도 천안시 서북구 차암동 543 e편한세상 스마일시티 2차,36.84747368,127.1079324,3,사용료 미신고,2022-02-25,2022-08-16,월+화+수+금+토+일,09:00,20:00,09:00,20:00,09:00,20:00,09:00,20:00,09:00,20:00,09:00,20:00,09:00,20:00,09:00,20:00,09:00,20:00,09:00,20:00,,,,,,,,,주류,충청남도 천안시 서북구청 환경위생과,041-521-6323,2022-06-13,4490000,충청남도 천안시
아파트내 장터,99,충청남도,천안시,"충청남도 천안시 서북구 백석3로 69, 1층 (백석동, 주공그린빌11단지1차아파트)",충청남도 천안시 서북구 백석동 915 주공그린빌11단지1차아파트,36.82264997,127.1192674,4,사용료 미신고,2022-03-17,2024-02-09,월+화+수+금+토+일,09:00,19:00,09:00,19:00,09:00,19:00,09:00,19:00,09:00,19:00,09:00,19:00,09:00,19:00,09:00,19:00,09:00,19:00,09:00,19:00,09:00,19:00,09:00,19:00,09:00,19:00,09:00,19:00,주류,충청남도 천안시 서북구청 환경위생과,041-521-6323,2022-06-13,4490000,충청남도 천안시
