로컬푸드인증번호,인증유효시작일자,인증유효종료일자,인증취소일자,사업장도로명주소,사업장지번주소,생산지도로명주소,생산지지번주소,품목명,재배면적,재배규모,인증부여일자,사업자명,사업자등록번호,전화번호,관리기관명,데이터기준일자,제공기관코드,제공기관명
HYG-180,2022-06-01,2032-06-01,,경상남도 함양군 수동면 산업단지길 209+경상남도 함양군 수동면 우명하교로 174,,경상남도 함양군 함양읍 함양배움길 5-32,,로메인 상추,,140,2022-06-01,빈둥협동조합,,070-7779-2122,경상남도 함양군청,2022-11-23,5460000,경상남도 함양군
HYG-181,2022-06-01,2032-06-01,,경상남도 함양군 수동면 산업단지길 209+경상남도 함양군 수동면 우명하교로 174,,"경상남도 함양군 함양읍 용평5길 13, 2층",,더덕주,,141,2022-06-01,운경,,070-7779-2122,경상남도 함양군청,2022-11-23,5460000,경상남도 함양군
HYG-182,2022-06-01,2032-06-01,,경상남도 함양군 수동면 산업단지길 209+경상남도 함양군 수동면 우명하교로 174,,경상남도 함양군 휴천면 신기길 117-16,,블루베리,,142,2022-06-01,별이베리,,070-7779-2122,경상남도 함양군청,2022-11-23,5460000,경상남도 함양군
HYG-183,2022-06-17,2032-06-17,,경상남도 함양군 수동면 산업단지길 209+경상남도 함양군 수동면 우명하교로 174,,경상남도 함양군 함양읍 삼봉로 517,,호두,,143,2022-06-17,강극희,,070-7779-2122,경상남도 함양군청,2022-11-23,5460000,경상남도 함양군
HYG-184,2022-06-30,2032-06-30,,경상남도 함양군 수동면 산업단지길 209+경상남도 함양군 수동면 우명하교로 174,,경상남도 함양군 수동면 거함대로 1180,,새싹인삼,,144,2022-06-30,강진환,,070-7779-2122,경상남도 함양군청,2022-11-23,5460000,경상남도 함양군
HYG-185,2022-06-30,2032-06-30,,경상남도 함양군 수동면 산업단지길 209+경상남도 함양군 수동면 우명하교로 174,,경상남도 함양군 백전면 백운로 47,,유정란,,145,2022-06-30,지리산백운농장,,070-7779-2122,경상남도 함양군청,2022-11-23,5460000,경상남도 함양군
HYG-138,2020-11-01,2030-11-01,,경상남도 함양군 수동면 산업단지길 209+경상남도 함양군 수동면 우명하교로 174,,경상남도 함양군 마천면 도촌길 30,경상남도 함양군 마천면 강청리 613,한과,,87,2020-11-01,지리산청정한과,,070-7779-2122,경상남도 함양군청,2022-11-23,5460000,경상남도 함양군
HYG-139,2020-11-01,2030-11-01,,경상남도 함양군 수동면 산업단지길 209+경상남도 함양군 수동면 우명하교로 174,,경상남도 함양군 수동면 하교길 10,,도라지,,89,2020-11-01,유농이네,,070-7779-2122,경상남도 함양군청,2022-11-23,5460000,경상남도 함양군
HYG-140,2020-11-01,2030-11-01,,경상남도 함양군 수동면 산업단지길 209+경상남도 함양군 수동면 우명하교로 174,,경상남도 함양군 함양읍 기동길 151,,곶감+감말랭이,,97,2020-11-01,지리산블루팜,,070-7779-2122,경상남도 함양군청,2022-11-23,5460000,경상남도 함양군
HYG-141,2020-11-01,2030-11-01,,경상남도 함양군 수동면 산업단지길 209+경상남도 함양군 수동면 우명하교로 174,,경상남도 함양군 안의면 광풍로 162-17,,딸기,,99,2020-11-01,하영근,,070-7779-2122,경상남도 함양군청,2022-11-23,5460000,경상남도 함양군
HYG-142,2020-11-01,2030-11-01,,경상남도 함양군 수동면 산업단지길 209+경상남도 함양군 수동면 우명하교로 174,,경상남도 함양군 지곡면 함양로 1785,,고로쇠 수액,,100,2020-11-01,함양지리산고로쇠영농조합법인,,070-7779-2122,경상남도 함양군청,2022-11-23,5460000,경상남도 함양군
HYG-143,2020-11-01,2030-11-01,,경상남도 함양군 수동면 산업단지길 209+경상남도 함양군 수동면 우명하교로 174,,경상남도 함양군 함양읍 뇌산길 156,,지리산도라지와돌배,,101,2020-11-01,지리산바우농장,,070-7779-2122,경상남도 함양군청,2022-11-23,5460000,경상남도 함양군
HYG-144,2021-06-01,2031-06-01,,경상남도 함양군 수동면 산업단지길 209+경상남도 함양군 수동면 우명하교로 174,,경상남도 함양군 서하면 오현길 29-21,,곶감+말랭이+사과,,102,2021-06-01,햇터농장,,070-7779-2122,경상남도 함양군청,2022-11-23,5460000,경상남도 함양군
HYG-145,2021-06-01,2031-06-01,,경상남도 함양군 수동면 산업단지길 209+경상남도 함양군 수동면 우명하교로 174,,경상남도 함양군 지곡면 함양로 1923,,딸기+복수박,,103,2021-06-01,지리산명품딸기농장,,070-7779-2122,경상남도 함양군청,2022-11-23,5460000,경상남도 함양군
HYG-146,2021-06-01,2031-06-01,,경상남도 함양군 수동면 산업단지길 209+경상남도 함양군 수동면 우명하교로 174,,경상남도 함양군 함양읍 대실곰실로 608,,두릅+고사리+취나물+누른호박,,104,2021-06-01,송천덕,,070-7779-2122,경상남도 함양군청,2022-11-23,5460000,경상남도 함양군
HYG-147,2021-06-01,2031-06-01,,경상남도 함양군 수동면 산업단지길 209+경상남도 함양군 수동면 우명하교로 174,,경상남도 함양군 병곡면 도천길 23,,배,,105,2021-06-01,개미농원,,070-7779-2122,경상남도 함양군청,2022-11-23,5460000,경상남도 함양군
HYG-148,2021-06-01,2031-06-01,,경상남도 함양군 수동면 산업단지길 209+경상남도 함양군 수동면 우명하교로 174,,경상남도 함양군 유림면 목현옥매로 398,,즙류+ABC주스+우슬진액,,106,2021-06-01,지리산엄천골,,070-7779-2122,경상남도 함양군청,2022-11-23,5460000,경상남도 함양군
HYG-149,2021-06-01,2031-06-01,,경상남도 함양군 수동면 산업단지길 209+경상남도 함양군 수동면 우명하교로 174,,경상남도 함양군 함양읍 고운로 495,,꿀류,,107,2021-06-01,산삼골꿀벌영농조합법인,,070-7779-2122,경상남도 함양군청,2022-11-23,5460000,경상남도 함양군
HYG-150,2021-06-01,2031-06-01,,경상남도 함양군 수동면 산업단지길 209+경상남도 함양군 수동면 우명하교로 174,,경상남도 함양군 함양읍 필봉산길 8,,차류,,110,2021-06-01,오가뷰,,070-7779-2122,경상남도 함양군청,2022-11-23,5460000,경상남도 함양군
HYG-151,2021-06-01,2031-06-01,,경상남도 함양군 수동면 산업단지길 209+경상남도 함양군 수동면 우명하교로 174,,경상남도 함양군 서상면 대남로 176-14,,미나리,,111,2021-06-01,큰가내농장,,070-7779-2122,경상남도 함양군청,2022-11-23,5460000,경상남도 함양군
HYG-152,2021-06-01,2031-06-01,,경상남도 함양군 수동면 산업단지길 209+경상남도 함양군 수동면 우명하교로 174,,,경상남도 함양군 함양읍 운림리 7-1,두릅+취나물,,112,2021-06-01,김영희,,070-7779-2122,경상남도 함양군청,2022-11-23,5460000,경상남도 함양군
HYG-153,2021-06-01,2031-06-01,,경상남도 함양군 수동면 산업단지길 209+경상남도 함양군 수동면 우명하교로 174,,경상남도 함양군 함양읍 학사루1길,,머위즙+삼백초즙,,113,2021-06-01,청정머위농원,,070-7779-2122,경상남도 함양군청,2022-11-23,5460000,경상남도 함양군
HYG-154,2021-06-01,2031-06-01,,경상남도 함양군 수동면 산업단지길 209+경상남도 함양군 수동면 우명하교로 174,,경상남도 함양군 함양읍 교산길 6-13,,블루베리,,114,2021-06-01,강선택,,070-7779-2122,경상남도 함양군청,2022-11-23,5460000,경상남도 함양군
HYG-155,2021-06-01,2031-06-01,,경상남도 함양군 수동면 산업단지길 209+경상남도 함양군 수동면 우명하교로 174,,경상남도 함양군 함양읍 교산중앙길 23,,신령호두,,115,2021-06-01,임채호,,070-7779-2122,경상남도 함양군청,2022-11-23,5460000,경상남도 함양군
HYG-156,2021-06-01,2031-06-01,,경상남도 함양군 수동면 산업단지길 209+경상남도 함양군 수동면 우명하교로 174,,경상남도 함양군 함양읍 함양로 1243,,부각류,,116,2021-06-01,예가원,,070-7779-2122,경상남도 함양군청,2022-11-23,5460000,경상남도 함양군
HYG-157,2021-06-01,2031-06-01,,경상남도 함양군 수동면 산업단지길 209+경상남도 함양군 수동면 우명하교로 174,,,경상남도 함양군 안의면 황곡리 270,블루베리,,117,2021-06-01,지리산황마골,,070-7779-2122,경상남도 함양군청,2022-11-23,5460000,경상남도 함양군
HYG-158,2021-06-01,2031-06-01,,경상남도 함양군 수동면 산업단지길 209+경상남도 함양군 수동면 우명하교로 174,,경상남도 함양군 함양읍 뇌산길 133-12,,가지+애호박,,118,2021-06-01,김병은,,070-7779-2122,경상남도 함양군청,2022-11-23,5460000,경상남도 함양군
HYG-159,2021-09-01,2031-09-01,,경상남도 함양군 수동면 산업단지길 209+경상남도 함양군 수동면 우명하교로 174,,경상남도 함양군 서하면 육십령로 2947,,사과,,119,2021-09-01,황산농장,,070-7779-2122,경상남도 함양군청,2022-11-23,5460000,경상남도 함양군
HYG-160,2021-09-01,2031-09-01,,경상남도 함양군 수동면 산업단지길 209+경상남도 함양군 수동면 우명하교로 174,,경상남도 함양군 함양읍 영림서길 28-21,,차류,,120,2021-09-01,티팡,,070-7779-2122,경상남도 함양군청,2022-11-23,5460000,경상남도 함양군
HYG-161,2021-09-01,2031-09-01,,경상남도 함양군 수동면 산업단지길 209+경상남도 함양군 수동면 우명하교로 174,,경상남도 함양군 서하면 서하송계로 399,,아스파라거스,,121,2021-09-01,이정식,,070-7779-2122,경상남도 함양군청,2022-11-23,5460000,경상남도 함양군
HYG-115,2020-11-01,2030-11-01,,경상남도 함양군 수동면 산업단지길 209+경상남도 함양군 수동면 우명하교로 174,,경상남도 함양군 지곡면 지곡창촌길 3,경상남도 함양군 지곡면 창평리 520-1,담솔+복분자+솔송주,,26,2020-11-01,솔송주,,070-7779-2122,경상남도 함양군청,2022-11-23,5460000,경상남도 함양군
HYG-116,2020-11-01,2030-11-01,,경상남도 함양군 수동면 산업단지길 209+경상남도 함양군 수동면 우명하교로 174,,,경상남도 함양군 지곡면 평촌리 831-25,고구마+사과,,27,2020-11-01,송가네농원,,070-7779-2122,경상남도 함양군청,2022-11-23,5460000,경상남도 함양군
HYG-117,2020-11-01,2030-11-01,,경상남도 함양군 수동면 산업단지길 209+경상남도 함양군 수동면 우명하교로 174,,,경상남도 함양군 서하면 송계리 189-6,도마+주걱,,29,2020-11-01,숲지기,,070-7779-2122,경상남도 함양군청,2022-11-23,5460000,경상남도 함양군
HYG-118,2020-11-01,2030-11-01,,경상남도 함양군 수동면 산업단지길 209+경상남도 함양군 수동면 우명하교로 174,,경상남도 함양군 안의면 약초시장길 27,경상남도 함양군 안의면 이전리 15,약초류,,30,2020-11-01,신진농산,,070-7779-2122,경상남도 함양군청,2022-11-23,5460000,경상남도 함양군
HYG-119,2020-11-01,2030-11-01,,경상남도 함양군 수동면 산업단지길 209+경상남도 함양군 수동면 우명하교로 174,,경상남도 함양군 함양읍 삼봉로 216-201,경상남도 함양군 함양읍 죽림리 1104-2,유기농계란,,31,2020-11-01,약초골농원,,070-7779-2122,경상남도 함양군청,2022-11-23,5460000,경상남도 함양군
HYG-120,2020-11-01,2030-11-01,,경상남도 함양군 수동면 산업단지길 209+경상남도 함양군 수동면 우명하교로 174,,경상남도 함양군 함양읍 함양로 85-44,경상남도 함양군 함양읍 죽림리 1515-2,엉겅퀴+오가피,,32,2020-11-01,양지약초마을,,070-7779-2122,경상남도 함양군청,2022-11-23,5460000,경상남도 함양군
HYG-121,2020-11-01,2030-11-01,,경상남도 함양군 수동면 산업단지길 209+경상남도 함양군 수동면 우명하교로 174,,경상남도 함양군 수동면 수동농공길 23-26,경상남도 함양군 수동면 화산리 1250-17,죽염류+된장+치약,,41,2020-11-01,인산가,,070-7779-2122,경상남도 함양군청,2022-11-23,5460000,경상남도 함양군
HYG-122,2020-11-01,2030-11-01,,경상남도 함양군 수동면 산업단지길 209+경상남도 함양군 수동면 우명하교로 174,,경상남도 함양군 함양읍 대병길 31-130,,국화분재,,43,2020-11-01,재현농원,,070-7779-2122,경상남도 함양군청,2022-11-23,5460000,경상남도 함양군
HYG-123,2020-11-01,2030-11-01,,경상남도 함양군 수동면 산업단지길 209+경상남도 함양군 수동면 우명하교로 174,,,경상남도 함양군 함양읍 이은리 390-1,표고버섯,,46,2020-11-01,지리산천령표고농원,,070-7779-2122,경상남도 함양군청,2022-11-23,5460000,경상남도 함양군
HYG-124,2020-11-01,2030-11-01,,경상남도 함양군 수동면 산업단지길 209+경상남도 함양군 수동면 우명하교로 174,,경상남도 함양군 함양읍 인당2길 26-7,경상남도 함양군 함양읍 이은리 352-3,도라지,,52,2020-11-01,진생바이오,,070-7779-2122,경상남도 함양군청,2022-11-23,5460000,경상남도 함양군
HYG-125,2020-11-01,2030-11-01,,경상남도 함양군 수동면 산업단지길 209+경상남도 함양군 수동면 우명하교로 174,,경상남도 함양군 함양읍 거면들길 21-62,,부각류,,53,2020-11-01,진앤진푸드,,070-7779-2122,경상남도 함양군청,2022-11-23,5460000,경상남도 함양군
2022-01-0001,2022-07-19,2024-07-18,,,,경기도 화성시 팔탄면 건달산로 129-31,,옥수수,,,2022-07-19,김현화,,,경기도 화성시청,2022-11-21,5530000,경기도 화성시
HYG-126,2020-11-01,2030-11-01,,경상남도 함양군 수동면 산업단지길 209+경상남도 함양군 수동면 우명하교로 174,,경상남도 함양군 안의면 종로길 10,,그린하미과+컬리플라워,,54,2020-11-01,차오름팜,,070-7779-2122,경상남도 함양군청,2022-11-23,5460000,경상남도 함양군
HYG-127,2020-11-01,2030-11-01,,경상남도 함양군 수동면 산업단지길 209+경상남도 함양군 수동면 우명하교로 174,,경상남도 함양군 병곡면 원산지소길 144,,생강청+산골편강+도라비배청,,56,2020-11-01,채연가,,070-7779-2122,경상남도 함양군청,2022-11-23,5460000,경상남도 함양군
HYG-128,2020-11-01,2030-11-01,,경상남도 함양군 수동면 산업단지길 209+경상남도 함양군 수동면 우명하교로 174,,경상남도 함양군 서상면 논개길 86-108,,보리새싹,,58,2020-11-01,청산식품,,070-7779-2122,경상남도 함양군청,2022-11-23,5460000,경상남도 함양군
HYG-129,2020-11-01,2030-11-01,,경상남도 함양군 수동면 산업단지길 209+경상남도 함양군 수동면 우명하교로 174,,경상남도 함양군 서상면 서상로 336-1,경상남도 함양군 서상면 대남리 1705-1,레몬머틀,,60,2020-11-01,추낙수농원,,070-7779-2122,경상남도 함양군청,2022-11-23,5460000,경상남도 함양군
HYG-130,2020-11-01,2030-11-01,,경상남도 함양군 수동면 산업단지길 209+경상남도 함양군 수동면 우명하교로 174,,경상남도 함양군 함양읍 동위천1길 37-1,,배,,63,2020-11-01,표점숙,,070-7779-2122,경상남도 함양군청,2022-11-23,5460000,경상남도 함양군
HYG-131,2020-11-01,2030-11-01,,경상남도 함양군 수동면 산업단지길 209+경상남도 함양군 수동면 우명하교로 174,,경상남도 함양군 지곡면 정취길 70-10,,고구마+오란다+조청산자+김부각+강정류,,73,2020-11-01,허농부,,070-7779-2122,경상남도 함양군청,2022-11-23,5460000,경상남도 함양군
HYG-132,2020-11-01,2030-11-01,,경상남도 함양군 수동면 산업단지길 209+경상남도 함양군 수동면 우명하교로 174,,경상남도 함양군 서하면 우전길 12-1,,꿀류+곶감,,76,2020-11-01,화림농원,,070-7779-2122,경상남도 함양군청,2022-11-23,5460000,경상남도 함양군
HYG-133,2020-11-01,2030-11-01,,경상남도 함양군 수동면 산업단지길 209+경상남도 함양군 수동면 우명하교로 174,,경상남도 함양군 함양읍 인당1길 19-8,,대파+양상추,,78,2020-11-01,함양후르츠콘,,070-7779-2122,경상남도 함양군청,2022-11-23,5460000,경상남도 함양군
HYG-134,2020-11-01,2030-11-01,,경상남도 함양군 수동면 산업단지길 209+경상남도 함양군 수동면 우명하교로 174,,경상남도 함양군 백전면 오매실길 147-61,,곶감,,80,2020-11-01,누리는곶감,,070-7779-2122,경상남도 함양군청,2022-11-23,5460000,경상남도 함양군
HYG-135,2020-11-01,2030-11-01,,경상남도 함양군 수동면 산업단지길 209+경상남도 함양군 수동면 우명하교로 174,,경상남도 함양군 안의면 광풍로 161,,사과,,83,2020-11-01,도계농원,,070-7779-2122,경상남도 함양군청,2022-11-23,5460000,경상남도 함양군
HYG-136,2020-11-01,2030-11-01,,경상남도 함양군 수동면 산업단지길 209+경상남도 함양군 수동면 우명하교로 174,,경상남도 함양군 함양읍 서위천길 5,,사과즙+오미자청+도라지배즙,,84,2020-11-01,지리산식품,,070-7779-2122,경상남도 함양군청,2022-11-23,5460000,경상남도 함양군
HYG-137,2020-11-01,2030-11-01,,경상남도 함양군 수동면 산업단지길 209+경상남도 함양군 수동면 우명하교로 174,,경상남도 함양군 서상면 대남로 178,,고구마+무말랭이+시래기,,86,2020-11-01,하늘마루,,070-7779-2122,경상남도 함양군청,2022-11-23,5460000,경상남도 함양군
HYG-091,2018-08-20,2028-08-20,,경상남도 함양군 수동면 산업단지길 209+경상남도 함양군 수동면 우명하교로 174,,경상남도 함양군 서하면 함양남서로 3700-4,,사과+사과즙,,33,2018-08-20,에덴영농조합법인,,070-7779-2122,경상남도 함양군청,2022-11-23,5460000,경상남도 함양군
HYG-092,2018-09-18,2028-09-18,,경상남도 함양군 수동면 산업단지길 209+경상남도 함양군 수동면 우명하교로 174,,경상남도 함양군 백전면 백운로 116,,반쯤깐밤,,38,2018-09-18,운림농원,,070-7779-2122,경상남도 함양군청,2022-11-23,5460000,경상남도 함양군
HYG-093,2018-09-27,2028-09-27,,경상남도 함양군 수동면 산업단지길 209+경상남도 함양군 수동면 우명하교로 174,,경상남도 함양군 함양읍 함양초등길 24,,산삼캔디,,,2018-09-27,산양산삼사업단,,070-7779-2122,경상남도 함양군청,2022-11-23,5460000,경상남도 함양군
HYG-094,2018-09-27,2028-09-27,,경상남도 함양군 수동면 산업단지길 209+경상남도 함양군 수동면 우명하교로 174,,경상남도 함양군 유림면 옥동길 3-3,,지리산명월초 티백차,,75,2018-09-27,지리산홍화인,,070-7779-2122,경상남도 함양군청,2022-11-23,5460000,경상남도 함양군
HYG-095,2018-12-19,2028-12-19,,경상남도 함양군 수동면 산업단지길 209+경상남도 함양군 수동면 우명하교로 174,,경상남도 함양군 마천면 광점길 197,,표고버섯,,13,2018-12-19,두리봉농원,,070-7779-2122,경상남도 함양군청,2022-11-23,5460000,경상남도 함양군
HYG-096,2019-01-30,2029-01-30,,경상남도 함양군 수동면 산업단지길 209+경상남도 함양군 수동면 우명하교로 174,,경상남도 함양군 함양읍 대실곰실로 674,,우산고로쇠 수액,,37,2019-01-30,강진규,,070-7779-2122,경상남도 함양군청,2022-11-23,5460000,경상남도 함양군
HYG-097,2019-02-27,2029-02-27,,경상남도 함양군 수동면 산업단지길 209+경상남도 함양군 수동면 우명하교로 174,,경상남도 함양군 수동면 수동농공길 29-2,,본래족발스페셜세트,,,2019-02-27,(주)본래족발,,070-7779-2122,경상남도 함양군청,2022-11-23,5460000,경상남도 함양군
HYG-098,2019-03-28,2029-03-28,,경상남도 함양군 수동면 산업단지길 209+경상남도 함양군 수동면 우명하교로 174,,경상남도 함양군 함양읍 중앙시장길 12-2,,이불+베개+목화솜,,61,2019-03-28,칠성면업사,,070-7779-2122,경상남도 함양군청,2022-11-23,5460000,경상남도 함양군
HYG-099,2019-04-11,2029-04-11,,경상남도 함양군 수동면 산업단지길 209+경상남도 함양군 수동면 우명하교로 174,,경상남도 함양군 함양읍 대실길 25-1,,꾸찌봉차+꾸지뽕진액,,45,2019-04-11,지리산꾸지뽕농장,,070-7779-2122,경상남도 함양군청,2022-11-23,5460000,경상남도 함양군
HYG-100,2019-04-11,2029-04-11,,경상남도 함양군 수동면 산업단지길 209+경상남도 함양군 수동면 우명하교로 174,,경상남도 함양군 백전면 백운로 116,,오미자즙+양파즙,,38,2019-04-11,운림농원,,070-7779-2122,경상남도 함양군청,2022-11-23,5460000,경상남도 함양군
HYG-101,2019-04-11,2029-04-11,,경상남도 함양군 수동면 산업단지길 209+경상남도 함양군 수동면 우명하교로 174,,경상남도 함양군 함양읍 송평원산로 476-13,,매실원액+개복숭아원액+솔순원액,,39,2019-04-11,원산매실농원,,070-7779-2122,경상남도 함양군청,2022-11-23,5460000,경상남도 함양군
HYG-102,2019-04-11,2029-04-11,,경상남도 함양군 수동면 산업단지길 209+경상남도 함양군 수동면 우명하교로 174,,경상남도 함양군 마천면 백무동로 329,,고로쇠 수액,,,2019-04-11,참샘가,,070-7779-2122,경상남도 함양군청,2022-11-23,5460000,경상남도 함양군
HYG-103,2019-04-11,2029-04-11,,경상남도 함양군 수동면 산업단지길 209+경상남도 함양군 수동면 우명하교로 174,,경상남도 함양군 안의면 수안길 294,,달걀,,108,2019-04-11,아늠달걀,,070-7779-2122,경상남도 함양군청,2022-11-23,5460000,경상남도 함양군
HYG-104,2019-04-11,2029-04-11,,경상남도 함양군 수동면 산업단지길 209+경상남도 함양군 수동면 우명하교로 174,,경상남도 함양군 병곡면 송평길45-1,경상남도 함양군 병곡면 송평리 309,꿀+화분,,1,2019-04-11,김영조의효소벌꿀,,070-7779-2122,경상남도 함양군청,2022-11-23,5460000,경상남도 함양군
HYG-105,2019-04-11,2029-04-11,,경상남도 함양군 수동면 산업단지길 209+경상남도 함양군 수동면 우명하교로 174,,경상남도 함양군 안의면 약초시장길 58,,아스파라거스,,57,2019-04-11,천령식품,,070-7779-2122,경상남도 함양군청,2022-11-23,5460000,경상남도 함양군
HYG-106,2020-11-01,2030-11-01,,경상남도 함양군 수동면 산업단지길 209+경상남도 함양군 수동면 우명하교로 174,,경상남도 함양군 함양읍 교산중앙길 17,,꿀류,,4,2020-11-01,곰실벌꿀,,070-7779-2122,경상남도 함양군청,2022-11-23,5460000,경상남도 함양군
HYG-107,2020-11-01,2030-11-01,,경상남도 함양군 수동면 산업단지길 209+경상남도 함양군 수동면 우명하교로 174,,경상남도 함양군 지곡면 부야길 42,,고구마,,8,2020-11-01,부야농원,,070-7779-2122,경상남도 함양군청,2022-11-23,5460000,경상남도 함양군
HYG-108,2020-11-01,2030-11-01,,경상남도 함양군 수동면 산업단지길 209+경상남도 함양군 수동면 우명하교로 174,,경상남도 함양군 서상면 논개길 86-108,경상남도 함양군 서상면 금당리 9,산삼캔디+산삼젤리,,14,2020-11-01,덕유산약초영농조합법인,,070-7779-2122,경상남도 함양군청,2022-11-23,5460000,경상남도 함양군
