육교명,도로종류,도로노선번호,도로노선명,소재지도로명주소,위도,경도,육교연장,육교높이,허용통행하중,통행제한높이,육교폭,난간높이,조명개수,장애인편의시설설치여부,장애인편의시설종류,장애인편의시설수량,부대시설종류,부대시설수량,육교준공일자,내진설계적용여부,안전등급,사용제한구분,육교보수보강내역,최종안전점검유형,최종안전점검일자,관리기관명,데이터기준일자,제공기관코드,제공기관명
단포초교 보도육교,시도,,호국로,경상북도 영천시 고경면 호국로 343,35.9810174,128.9748400297,,,,5,,,,N,N,,,,, ,양호,제한없음,,정기점검,2022-06-28,경상북도 영천시청,2022-11-08,5100000,경상북도 영천시
장천리보도육교,시도,,참외전로,인천광역시 동구 참외전로245,37.47039456,126.6390423,25.53,7.25,3.367,4.8,2,1.15,0,N,미끄럼방지,,,,2003-12-26,N,양호,제한없음,도장공사+논슬립 교체(2021.05),정기점검,2021-09-16,인천광역시 동구청,2022-11-10,3500000,인천광역시 동구
주원철도,구도,,석정로,인천광역시 남동구 석정로 566번길,37.464795,126.698904,30,,,4.5,5,,,Y,엘레베이터,1,,,1987-01-01, ,양호,제한없음,,정기점검,2021-12-23,인천광역시 남동구청,2022-11-09,3530000,인천광역시 남동구
이화아파트,시도,,경원대로,인천광역시 남동구 경원대로 960,37.468139,126.6905935,28.4,,,4.8,4,,,N,없음,0,,,1993-01-01, ,양호,제한없음,,정기점검,2021-12-23,인천광역시 남동구청,2022-11-09,3530000,인천광역시 남동구
남동정수장,일반국도,42호,백범로,인천광역시 남동구 담방로 105,37.45042788,126.7398942,43.6,,,4.8,4,,,Y,경사로,1,,,1996-01-01, ,양호,제한없음,,정기점검,2021-12-23,인천광역시 남동구청,2022-11-09,3530000,인천광역시 남동구
남동관문교,시도,,인주대로,인천광역시 남동구 소래로 652,37.44730181,126.7347827,118,,,4.7,4,,,Y,경사로,1,,,1997-01-01, ,양호,제한없음,,정기점검,2021-12-23,인천광역시 남동구청,2022-11-09,3530000,인천광역시 남동구
도림,시도,,비류대로,인천광역시 남동구 도리미로 1번길,37.421407,126.729529,43.3,,,5,4,,,Y,경사로,1,,,1998-01-01, ,양호,제한없음,,정기점검,2021-12-23,인천광역시 남동구청,2022-11-09,3530000,인천광역시 남동구
논현1택지,시도,,호구포로,인천광역시 남동구 호구포로 294,37.40983956,126.7134086,39.8,,,5,6,,,Y,경사로,1,,,1998-01-01, ,양호,제한없음,,정기점검,2021-12-23,인천광역시 남동구청,2022-11-09,3530000,인천광역시 남동구
운연동 육교,일반국도,42호,수인로,인천광역시 남동구 수인로 3548,37.44354495,126.7656959,30.5,,,4.8,4,,,Y,경사로,1,,,2000-01-01, ,양호,제한없음,,정기점검,2021-12-23,인천광역시 남동구청,2022-11-09,3530000,인천광역시 남동구
신월초교,시도,,인주대로,인천광역시 인주대로 781,37.449083,126.723996,29.5,,,5.2,4,,,Y,경사로,1,,,2003-01-01, ,양호,제한없음,,정기점검,2021-12-23,인천광역시 남동구청,2022-11-09,3530000,인천광역시 남동구
논현2택지1보도육교,시도,,은봉로,인천광역시 남동구 은봉로 288,37.40399921,126.7227649,130,,,4.5,4,,,Y,경사로,1,,,2006-01-01, ,양호,제한없음,,정기점검,2021-12-23,인천광역시 남동구청,2022-11-09,3530000,인천광역시 남동구
논현(소래초),시도,,청능대로,인천광역시 남동구 청능대로 718번길 31,37.40554215,126.7362082,150,,,4.5,2.8,,,Y,경사로,1,,,2007-01-01, ,양호,제한없음,,정기점검,2021-12-23,인천광역시 남동구청,2022-11-09,3530000,인천광역시 남동구
양동보도육교,기타,,경의중앙선,,37.41962621,127.7550837,50,7,15,5,4,1.5,3,N,없음,0,없음,0,2009-12-30,N,양호,제한없음,바닥+시설물 보수,정기점검,2022-10-12,경기도 양평군청,2022-11-28,4170000,경기도 양평군
논현택지2보도육교,시도,,은봉로,인천광역시 남동구 논현로 17,37.40360418,126.7088091,92,,,4.5,4,,,Y,엘레베이터,1,,,2009-01-01, ,양호,제한없음,,정기점검,2021-12-23,인천광역시 남동구청,2022-11-09,3530000,인천광역시 남동구
해안도로,구도,,아암대로,인천광역시 남동구 아암대로 1239,37.384457,126.7052872,80,,,4.5,3,,,Y,엘레베이터,1,,,2010-01-01, ,양호,제한없음,,정기점검,2021-12-23,인천광역시 남동구청,2022-11-09,3530000,인천광역시 남동구
승기천 횡단,구도,,승기천로,인천광역시 남동구 남동서로 205번길 32,37.4109351,126.6894333,110,,,4.5,3,,,N,없음,0,,,2010-01-01, ,양호,제한없음,,정기점검,2021-12-23,인천광역시 남동구청,2022-11-09,3530000,인천광역시 남동구
세상2보도교,시도,,해운대로,부산광역시 해운대구 좌동순환로 280,35.17074922,129.1794054,36.8,,,5,4.9,,,N,없음,,,,1996-01-01,N,양호,제한없음,,정기점검,2022-07-08,부산광역시 해운대구,2022-11-18,3330000,부산광역시 해운대구
세상1보도교,시도,,좌동로,부산광역시 해운대구 좌동로 126,35.17309632,129.175166,32,,,5,4.9,,,N,없음,,,,1996-01-01,N,양호,제한없음,,정기점검,2022-07-08,부산광역시 해운대구,2022-11-18,3330000,부산광역시 해운대구
중앙보도교,시도,,양운로,부산광역시 해운대구 양운로 176,35.17764981,129.1684825,31.5,,,5,4.9,,,Y,경사로,,,,1996-01-01,N,양호,제한없음,,정기점검,2022-07-08,부산광역시 해운대구,2022-11-18,3330000,부산광역시 해운대구
해강초등육교,시도,,해운대로 452번길,부산광역시 해운대구 해운대해변로 73,35.16426707,129.1345476,25,,,5,3,,,N,없음,,,,1997-01-01,N,양호,제한없음,,정기점검,2022-07-08,부산광역시 해운대구,2022-11-18,3330000,부산광역시 해운대구
무지개다리,시도,,양운로,부산광역시 해운대구 대천로103번길 29,35.17536901,129.1690365,64,,,5,3,,,N,없음,,,,1996-01-01,N,양호,제한없음,,정기점검,2022-07-08,부산광역시 해운대구,2022-11-18,3330000,부산광역시 해운대구
춘천1 보도교,시도,,양운로,부산광역시 해운대구 양운로 176,35.17782916,129.1685312,30,,,5,4,,,N,없음,,,,1996-01-01,N,양호,제한없음,,정기점검,2022-07-08,부산광역시 해운대구,2022-11-18,3330000,부산광역시 해운대구
춘천2 보도교,시도,,좌동순환로,부산광역시 해운대구 좌동순환로 118,35.17538631,129.1680712,30,,,5,4,,,N,없음,,,,1996-01-01,N,양호,제한없음,,정기점검,2022-07-08,부산광역시 해운대구,2022-11-18,3330000,부산광역시 해운대구
나무를 타는 아이,시도,,해운대로,부산광역시 해운대구 해운대로 428,35.16557349,129.1381373,109.2,,,6,3.3,,,Y,엘리베이터,,,,2002-01-01,N,양호,제한없음,,정기점검,2022-07-08,부산광역시 해운대구,2022-11-18,3330000,부산광역시 해운대구
문화회관보도육교,구도,,서달로,인천광역시 서구 서달로 190,37.515017,126.6799321,17,5,,5.2,4,2,14,Y,경사로,2,N,0,1998-07-31,N,보통,제한없음,,정기점검,2019-05-17,인천광역시 서구,2022-07-20,3560000,인천광역시 서구
한신빌리지보도육교,시도,,서곶로,인천광역시 서구 서곶로 12,37.520034,126.681253,19,5,,5,4,1.5,10,Y,경사로,2,N,0,1998-07-31,N,보통,제한없음,,정기점검,2019-05-17,인천광역시 서구,2022-07-20,3560000,인천광역시 서구
백석초교앞보도육교,시도,,서곶로,인천광역시 서구 서곶로 670,37.577733,126.675285,30,5.5,,5.2,4,2,18,N,없음,,N,0,1996-07-31,N,보통,제한없음,,정기점검,2019-05-17,인천광역시 서구,2022-07-20,3560000,인천광역시 서구
당하보도육교,시도,,원당대로,인천광역시 서구 마전동 산 196-7,37.594599,126.687675,33,5,,4.6,6,2,13,Y,경사로,2,N,0,2005-07-31,N,보통,제한없음,,정기점검,2019-05-17,인천광역시 서구,2022-07-20,3560000,인천광역시 서구
원당보도육교,시도,,원당대로,인천광역시 서구 당하동 314-7,37.592208,126.704381,32,5,,4.5,4,1.5,3,Y,경사로,2,N,0,2006-07-31,N,보통,제한없음,,정기점검,2019-05-17,인천광역시 서구,2022-07-20,3560000,인천광역시 서구
검단초교앞보도육교,시도,,검단로,인천광역시 서구 마전동 316-5,37.609398,126.670269,31,5,,4.5,3,1.5,14,Y,경사로,2,N,0,2006-07-31,N,보통,제한없음,,정기점검,2019-05-17,인천광역시 서구,2022-07-20,3560000,인천광역시 서구
충민교,시도,,경제로,인천광역시 서구 청라동 112-34,37.53603023,126.6548661,71.6,5.5,,4.5,8.1,1.5,140,Y,경사로 및 엘리베이터,3,N,0,2012-06-30,Y,보통,제한없음,,정밀점검,2019-06-18,인천광역시 서구,2022-07-20,3560000,인천광역시 서구
장경교,시도,,청중로,인천광역시 서구 청라라임로16번길18,37.529964,126.654881,83.4,5.5,,4.5,8.1,1.5,208,Y,경사로 및 엘리베이터,3,N,0,2012-06-30,Y,보통,제한없음,,정밀점검,2019-06-18,인천광역시 서구,2022-07-20,3560000,인천광역시 서구
장숙교,시도,,경제로,인천광역시 서구 청라루미로134번길 6-32,37.536123,126.642651,40,5.5,,4.5,7.8,1.5,154,Y,경사로 및 엘리베이터,3,N,0,2012-06-30,Y,보통,제한없음,,정밀점검,2019-06-18,인천광역시 서구,2022-07-20,3560000,인천광역시 서구
교동택지육교,시도,,교동광장로,강원도 강릉시 교동 1916,37.76463753,128.8769489,73,7.2,,4.3,5,1.2,,Y,경사로,,,,,N,양호,제한없음,,정기점검,2022-05-12,강원도 강릉시청,2022-12-05,4200000,강원도 강릉시
유천육교,시도,,선수촌로,강원도 강릉시 유천동 788,37.76001124,128.8711276,38,4.7,,4.3,4.62,1,,Y,점자블럭,1,엘리베이터,2,,N,양호,제한없음,,정기점검,2022-05-12,강원도 강릉시청,2022-12-05,4200000,강원도 강릉시
구산동 보도육교,일반국도,58호선,김해대로,경상남도 김해시 김해대로 1960,35.252044,128.867447,44,,,4.8,3,,,Y,승강기,,,,, ,양호,제한없음,,정기점검,2022-04-01,경상남도 김해시청,2022-11-18,5350000,경상남도 김해시
조은금강병원앞 보도육교,일반국도,58호선,김해대로,경상남도 김해시 김해대로 1806,35.264838,128.863084,30.7,,,5,3,,,Y,승강기,,,,, ,양호,제한없음,,정기점검,2022-04-01,경상남도 김해시청,2022-11-18,5350000,경상남도 김해시
부영6차아파트앞 보도육교,일반국도,58호선,김해대로,경상남도 김해시 삼계중앙로5번길 1-10,35.260544,128.865325,33.9,,,5,3,,,Y,승강기,,,,, ,양호,제한없음,,정기점검,2022-04-01,경상남도 김해시청,2022-11-18,5350000,경상남도 김해시
우암초등학교앞 보도육교,일반국도,58호선,금관대로,경상남도 김해시 평전로 192,35.2443587537,128.8642616843,22.7,,,5,3,,,Y,승강기,,,,, ,양호,제한없음,,정기점검,2022-04-01,경상남도 김해시청,2022-11-18,5350000,경상남도 김해시
금산초등학교앞 보도육교,일반국도,14호선,김해대로,경상남도 김해시 진영읍 김해대로 44,35.2917211513,128.7078957042,24,,,4.7,3.5,,,N,없음,,,,, ,양호,제한없음,,정기점검,2022-04-01,경상남도 김해시청,2022-11-18,5350000,경상남도 김해시
건지보도육교,시도,,인천대로,인천광역시 서구 가석로 54,37.491498,126.675333,152,5.6,,5.5,4,2,11,Y,경사로,2,N,0,2003-07-31,N,보통,제한없음,,정기점검,2019-05-17,인천광역시 서구,2022-07-20,3560000,인천광역시 서구
가좌보도육교,시도,,인천대로,인천광역시 서구 가석로126번안길 2,37.495707,126.675578,90,5.6,,4.7,4,2,4,Y,경사로,2,N,0,1996-07-31,N,보통,제한없음,,정기점검,2019-05-17,인천광역시 서구,2022-07-20,3560000,인천광역시 서구
거북시장보도육교,시도,,인천대로,인천광역시 서구 가석로 206,37.503022,126.676031,74,5.6,,5.3,4,2,66,Y,경사로,2,N,0,1998-07-31,N,보통,제한없음,,정기점검,2019-05-17,인천광역시 서구,2022-07-20,3560000,인천광역시 서구
석남보도육교,시도,,인천대로,인천광역시 서구 가석로 257,37.509741,126.676415,52.5,5.6,,4.6,5,2,3,Y,경사로,2,N,0,1991-07-31,N,미흡,제한없음,,정기점검,2019-05-17,인천광역시 서구,2022-07-20,3560000,인천광역시 서구
네개동보도육교,시도,,인천대로,인천광역시 서구 서달로 163,37.513385,126.676626,63,5.6,,5.6,4,2,13,Y,경사로,2,N,0,1996-07-31,N,보통,제한없음,,정기점검,2019-05-17,인천광역시 서구,2022-07-20,3560000,인천광역시 서구
콜롬비아보도육교,시도,,인천대로,인천광역시 서구 가석로 368,37.517452,126.677363,49,5.6,,5.1,6,2,11,Y,경사로,2,N,0,1992-07-31,N,미흡,제한없음,,정기점검,2019-05-17,인천광역시 서구,2022-07-20,3560000,인천광역시 서구
서인천IC보도육교,시도,,인천대로,인천광역시 서구 서곶로 12,37.522883,126.684063,108,5.6,,6.1,4,2,,Y,경사로,2,N,0,1992-07-31,N,보통,제한없음,,정기점검,2019-05-17,인천광역시 서구,2022-07-20,3560000,인천광역시 서구
원적산터널보도육교,구도,,서달로,인천광역시 서구 서달로 77,37.505917,126.678566,75,5,,4.5,4,1.5,8,Y,경사로,4,N,0,2004-07-31,N,양호,제한없음,,정기점검,2019-05-17,인천광역시 서구,2022-07-20,3560000,인천광역시 서구
곤지암육교,시도,23번,경충대로,경기도 광주시 곤지암읍 곤지암리 333-4,37.347185,127.348506,28,5.5,,4.5,3,,,N,없음,,없음,0,2003-09-01,N,양호,제한없음,없음,정기점검,2018-11-02,경기도 광주시청,2022-11-01,5540000,경기도 광주시
삼동역육교,시도,23번,경충대로,경기도 광주시 삼동 산 1-4,37.409177,127.204865,38,5.7,,4.7,2,,,N,없음,,엘리베이터,2,2016-12-31,Y,양호,제한없음,없음,정기점검,2018-11-02,경기도 광주시청,2022-11-01,5540000,경기도 광주시
상관육교,일반국도,17호선,춘향로,전라북도 완주군 상관면 용암리 307-2,35.71448682,127.2363649,,,,4.8,,,,N,없음,,,,, ,양호,제한없음,,정기점검,2016-11-15,전주국토관리사무소,2022-11-24,4720000,전라북도 완주군
용진육교,일반국도,17호선,완주로,전라북도 완주군 용진읍 운곡리 975-54,35.90540522,127.1568122,,,,4.8,,,,N,없음,,,,, ,양호,제한없음,,정기점검,2016-11-15,전주국토관리사무소,2022-11-24,4720000,전라북도 완주군
소양육교,일반국도,26호선,전진로,전라북도 완주군 소양면 해월리 799-2,35.85608006,127.2557269,,,,4.8,,,,N,없음,,,,, ,양호,제한없음,,정기점검,2016-11-15,전주국토관리사무소,2022-11-24,4720000,전라북도 완주군
은하육교,지방도,799호선,봉동로,전라북도 완주군 봉동읍 은하리 1052-1,35.95522667,127.1437354,,,,4.8,,,,N,없음,,,,, ,양호,제한없음,,정기점검,2016-11-15,전라북도 도로관리사업소,2022-11-24,4720000,전라북도 완주군
봉동육교,지방도,799호선,삼봉로,전라북도 완주군 봉동읍 장기리 708-1,35.93817305,127.1601888,,,,4.8,,,,N,없음,,,,, ,양호,제한없음,,정기점검,2016-11-15,전라북도 도로관리사업소,2022-11-24,4720000,전라북도 완주군
석전육교,지방도,799호선,삼봉로,전라북도 완주군 삼례읍 석전리 753-5,35.92108775,127.1044345,,,,4.8,,,,N,없음,,,,, ,양호,제한없음,,정기점검,2016-11-15,전라북도 도로관리사업소,2022-11-24,4720000,전라북도 완주군
갈산하늘다리(보도육교),지방도,713호선,이서남로,전라북도 완주군 이서면 금평리 788,35.8190696,127.0441221,,,,4.8,,,,Y,승강기,,,,, ,양호,제한없음,,정기점검,2022-11-07,전라북도 완주군 도로교통과,2022-11-24,4720000,전라북도 완주군
호수공원육교,시도,,광교호수로,경기도 수원시 영통구 광교호수로152번길 80,37.27831028,127.0681819,109,6,,5,4.5,,,Y,엘리베이터+경사로,,,,, ,양호,제한없음,,정기점검,2021-05-28,경기도 수원시 영통구청,2022-09-30,3740000,경기도 수원시
수원역고가육교,시도,,덕영대로,경기도 수원시 권선구 덕영대로 960,37.26295993,127.0024333,38,5,,5,4,,,N,없음,,,,, ,보통,제한없음,,정기점검,2021-05-21,경기도 수원시 권선구청,2022-09-30,3740000,경기도 수원시
푸른숲육교,시도,,칠보로,경기도 수원시 권선구 칠보로 102,37.26579489,126.9504993,45,,,4.3,6,,,Y,경사로,,,,, ,양호,제한없음,,정기점검,2021-05-21,경기도 수원시 권선구청,2022-09-30,3740000,경기도 수원시
참나래육교,시도,,금곡로,경기도 수원시 권선구 금곡로140번길 29,37.27202406,126.9457173,45,,,4.8,20,,,Y,경사로,,,,, ,양호,제한없음,,정기점검,2021-05-21,경기도 수원시 권선구청,2022-09-30,3740000,경기도 수원시
가온육교,시도,,금곡로,경기도 수원시 권선구 금곡로 126,37.2736145,126.9444852,40,,,4,7,,,Y,경사로,,,,, ,양호,제한없음,,정기점검,2021-05-21,경기도 수원시 권선구청,2022-09-30,3740000,경기도 수원시
자전거횡단육교1,시도,,금곡로,경기도 수원시 권선구 서수원로 533-40,37.2769853,126.9490094,15,,,2.5,5,,,N,없음,,,,, ,양호,제한없음,,정기점검,2021-05-21,경기도 수원시 권선구청,2022-09-30,3740000,경기도 수원시
자전거횡단육교2,시도,,매곡로,경기도 수원시 권선구 매곡로 43,37.26972344,126.9517635,15,,,2.5,5,,,N,없음,,,,, ,양호,제한없음,,정기점검,2021-05-21,경기도 수원시 권선구청,2022-09-30,3740000,경기도 수원시
자전거횡단육교3,시도,,호매실로,경기도 수원시 권선구 호매실로165번길 70,37.26014366,126.9520027,15,,,2.5,5,,,N,없음,,,,, ,양호,제한없음,,정기점검,2021-05-21,경기도 수원시 권선구청,2022-09-30,3740000,경기도 수원시
달맞이육교,시도,,덕영대로,경기도 수원시 권선구 덕영대로1190번길 100,37.24469709,127.0194352,28,,,2.5,3.5,,,N,없음,,,,, ,양호,제한없음,,정기점검,2021-05-21,경기도 수원시 권선구청,2022-09-30,3740000,경기도 수원시
서호육교,시도,,덕영대로,경기도 수원시 팔달구 덕영대로735번길 18,37.28135952,126.9925868,100,,,7,3,,,Y,경사로,,,,, ,보통,제한없음,,정기점검,2021-04-24,경기도 수원시 팔달구청,2022-09-30,3740000,경기도 수원시
정천정문육교,시도,,일월천로,경기도 수원시 장안구 일월천로 77,37.2868358,126.9777941,28.4,5,,4.5,4,,,Y,경사로,,,,, ,보통,제한없음,,정기점검,2021-04-24,경기도 수원시 팔달구청,2022-09-30,3740000,경기도 수원시
정천후문육교,시도,,정자천로,경기도 수원시 팔달구 정자천로14번길 6-2,37.2884214,126.9790385,58.1,5,,4.5,3,,,Y,경사로,,,,, ,보통,제한없음,,정기점검,2021-04-24,경기도 수원시 팔달구청,2022-09-30,3740000,경기도 수원시
애경육교,일반국도,43번,덕영대로,경기도 수원시 팔달구 덕영대로 923-10,37.2659137,127.0016871,33.2,5,,5,4,,,Y,엘리베이터,,,,, ,보통,제한없음,,정기점검,2021-04-24,경기도 수원시 팔달구청,2022-09-30,3740000,경기도 수원시
효성육교,시도,,월드컵로,경기도 수원시 팔달구 월드컵로 256,37.28347335,127.0393624,184,5,,4.8,4.4,,,Y,경사로,,,,, ,보통,제한없음,,정기점검,2021-04-24,경기도 수원시 팔달구청,2022-09-30,3740000,경기도 수원시
창룡육교,시도,,경수대로,경기도 수원시 팔달구 경수대로692번길 7,37.28720316,127.0269927,35.8,5,,5,3.4,,,Y,경사로,,,,, ,보통,제한없음,,정기점검,2021-04-24,경기도 수원시 팔달구청,2022-09-30,3740000,경기도 수원시
청소년육교,시도,,권광로,경기도 수원시 영통구 권광로 302,37.2739591,127.0371102,80,5,,4.5,8,,,Y,경사로,,,,, ,양호,제한없음,,정기점검,2021-04-24,경기도 수원시 팔달구청,2022-09-30,3740000,경기도 수원시
인도래교,시도,,권광로,경기도 수원시 팔달구 권광로 243,37.26931703,127.034412,50,5,,5,5,,,Y,경사로,,,,, ,양호,제한없음,,정기점검,2021-04-24,경기도 수원시 팔달구청,2022-09-30,3740000,경기도 수원시
효원육교,시도,,동수원로,경기도 수원시 팔달구 동수원로 335,37.25939225,127.0364507,67.8,5,,4.8,4.5,,,Y,엘리베이터,,,,, ,양호,제한없음,,정기점검,2021-04-24,경기도 수원시 팔달구청,2022-09-30,3740000,경기도 수원시
큰말육교(청명육교),시도,,청명로,경기도 수원시 영통구 청명로 130,37.25686099,127.0744662,54.9,6.4,,4.8,5.4,,,Y,경사로,,,,, ,보통,제한없음,,정기점검,2021-05-28,경기도 수원시 영통구청,2022-09-30,3740000,경기도 수원시
신나무실육교,시도,,매영로,경기도 수원시 영통구 매영로 346,37.25149899,127.0702949,54.4,6,,4.8,5.4,,,Y,엘리베이터+에스컬레이터,,,,, ,보통,제한없음,,정기점검,2021-05-28,경기도 수원시 영통구청,2022-09-30,3740000,경기도 수원시
황골육교,시도,,봉영로,경기도 수원시 영통구 봉영로 1763,37.2664538,127.081651,58.4,6,,4.8,5.4,,,Y,경사로,,,,, ,보통,제한없음,,정기점검,2021-05-28,경기도 수원시 영통구청,2022-09-30,3740000,경기도 수원시
느티나무육교,시도,,봉영로,경기도 수원시 영통구 봉영로 1598,37.25331525,127.0739335,61,6,,4.8,30.3,,,N,없음,,,,, ,보통,제한없음,,정기점검,2021-05-28,경기도 수원시 영통구청,2022-09-30,3740000,경기도 수원시
효사랑육교,시도,,효원로,경기도 수원시 영통구 효원로 363,37.26153322,127.0395242,76,6.5,,5,4.6,,,Y,경사로,,,,, ,양호,제한없음,,정기점검,2021-05-28,경기도 수원시 영통구청,2022-09-30,3740000,경기도 수원시
망포육교,시도,,봉영로,경기도 수원시 영통구 봉영로 1432-25,37.24116294,127.0653941,40,7.2,,4.5,13.2,,,Y,점자블록,,,,, ,보통,제한없음,,정기점검,2021-05-28,경기도 수원시 영통구청,2022-09-30,3740000,경기도 수원시
먼내보도교,시도,,중부대로,경기도 수원시 영통구 중부대로448번길 28,37.26713882,127.058579,35.27,3.5,,2.5,3,,,N,없음,,,,, ,보통,제한없음,,정기점검,2021-05-28,경기도 수원시 영통구청,2022-09-30,3740000,경기도 수원시
소화육교,시도,,광교중앙로,경기도 수원시 영통구 광교중앙로37번길 47,37.27814864,127.0513981,50,6.5,,5,4.5,,,Y,엘리베이터,,,,, ,양호,제한없음,,정기점검,2021-05-28,경기도 수원시 영통구청,2022-09-30,3740000,경기도 수원시
웰빙센터앞 보도육교,일반국도,7번,동해대로,강원도 동해시 동해대로,37.515011,129.1041113,13.58,5,,4.5,4,,,Y,경사로,1,,,2002-07-01,N,양호,제한없음,,정기점검,2021-11-03,강원도 동해시,2022-10-07,4210000,강원도 동해시
동호보도육교,지방도,3-15번,발한로,강원도 동해시 발한로 102,37.5413148,129.102151,28,5,,4.5,4,,,N,없음,,,,1994-07-01,N,양호,제한없음,,정기점검,2021-11-03,강원도 동해시,2022-10-07,4210000,강원도 동해시
