시도명,시군구명,도로명,지정사유,지정연도,도로폭,도로연장,도로차로수,보차분리여부,시작점위도,시작점경도,종료점위도,종료점경도,도로안내표지일련번호,관리기관명,관리기관전화번호,데이터기준일자,제공기관코드,제공기관명
경상북도,구미시,도봉로1길,통행원활,,6,130,1,Y,36.140438,128.312322,36.140199,128.313084,,경상북도 구미시청,054-480-6114,2022-11-28,5080000,경상북도 구미시
경상북도,구미시,봉곡로24길,통행원활,,6,430,1,Y,36.155851,128.310157,36.155752,128.311486,,경상북도 구미시청,054-480-6114,2022-11-28,5080000,경상북도 구미시
경상북도,구미시,삼일로,통행원활,,6,35,1,N,36.110441,128.417889,36.110181,128.418048,,경상북도 구미시청,054-480-6114,2022-11-28,5080000,경상북도 구미시
경상북도,구미시,삼일로,통행원활,,6,40,1,N,36.110181,128.418048,36.110536,128.418038,,경상북도 구미시청,054-480-6114,2022-11-28,5080000,경상북도 구미시
경상북도,구미시,수출대로,통행원활,,6,195,1,N,36.110905,128.389749,36.110801,128.391911,,경상북도 구미시청,054-480-6114,2022-11-28,5080000,경상북도 구미시
경상북도,구미시,수출대로,통행원활,,6,130,1,N,36.111072,128.391991,36.111088,128.390154,,경상북도 구미시청,054-480-6114,2022-11-28,5080000,경상북도 구미시
경상북도,구미시,신곡길,통행원활,,6,210,1,N,36.304787,128.328611,36.306298,128.329903,,경상북도 구미시청,054-480-6114,2022-11-28,5080000,경상북도 구미시
경상북도,구미시,신곡길,통행원활,,6,190,1,N,36.306326,128.329817,36.305428,128.328103,,경상북도 구미시청,054-480-6114,2022-11-28,5080000,경상북도 구미시
경상북도,구미시,신시로14길,통행원활,,6,1150,1,N,36.115394,128.339341,36.115263,128.351292,,경상북도 구미시청,054-480-6114,2022-11-28,5080000,경상북도 구미시
경상북도,구미시,신시로16길,통행원활,,6,1150,1,N,36.115547,128.351446,36.115756,128.339349,,경상북도 구미시청,054-480-6114,2022-11-28,5080000,경상북도 구미시
경상북도,구미시,신시로7길,통행원활,,6,430,1,Y,36.114791,128.338055,36.111832,128.336088,,경상북도 구미시청,054-480-6114,2022-11-28,5080000,경상북도 구미시
경상북도,구미시,역전로2길,통행원활,,6,270,1,Y,36.129601,128.334901,36.130701,128.332201,,경상북도 구미시청,054-480-6114,2022-11-28,5080000,경상북도 구미시
경상북도,구미시,인동32길,통행원활,,6,375,1,Y,36.094573,128.427937,36.092774,128.431399,,경상북도 구미시청,054-480-6114,2022-11-28,5080000,경상북도 구미시
경상북도,구미시,인동38길,통행원활,,6,35,1,Y,36.092838,128.432585,36.092504,128.432425,,경상북도 구미시청,054-480-6114,2022-11-28,5080000,경상북도 구미시
경상북도,구미시,인동38길,통행원활,,6,110,1,Y,36.093665,128.432998,36.093319,128.434168,,경상북도 구미시청,054-480-6114,2022-11-28,5080000,경상북도 구미시
경상북도,구미시,인동38길,통행원활,,6,110,1,Y,36.092925,128.433992,36.093272,128.432809,,경상북도 구미시청,054-480-6114,2022-11-28,5080000,경상북도 구미시
경상북도,구미시,인동38길,통행원활,,6,110,1,Y,36.092866,128.432637,36.092521,128.433812,,경상북도 구미시청,054-480-6114,2022-11-28,5080000,경상북도 구미시
경상북도,구미시,인동남길,통행원활,,6,200,1,Y,36.093714,128.434355,36.093332,128.432796,,경상북도 구미시청,054-480-6114,2022-11-28,5080000,경상북도 구미시
제주특별자치도,서귀포시,천제연로 170번길,교통불편 해소,2017,4,60,1,N,33.251912,126.422644,33.251385,126.422682,,제주특별자치도 서귀포시 교통행정과,064-760-3295,2022-12-15,6520000,제주특별자치도 서귀포시
제주특별자치도,서귀포시,중문동 1746-4,교통불편 해소,2018,6,80,1,N,33.256969,126.430606,33.256885,126.429994,,제주특별자치도 서귀포시 교통행정과,064-760-3295,2022-12-15,6520000,제주특별자치도 서귀포시
제주특별자치도,서귀포시,일출로,교통불편 해소,,8,680,1,Y,33.460321,126.931014,33.464022,126.934208,,제주특별자치도 서귀포시 교통행정과,064-760-3295,2022-12-15,6520000,제주특별자치도 서귀포시
제주특별자치도,서귀포시,고산중앙로,교통불편 해소,,6,80,1,N,33.450087,126.911958,33.449182,126.9110504,,제주특별자치도 서귀포시 교통행정과,064-760-3295,2022-12-15,6520000,제주특별자치도 서귀포시
제주특별자치도,서귀포시,동류암로 39번길,교통불편 해소,,6,140,1,N,33.447768,126.9152006,33.448602,126.916194,,제주특별자치도 서귀포시 교통행정과,064-760-3295,2022-12-15,6520000,제주특별자치도 서귀포시
제주특별자치도,서귀포시,민속해안로,교통불편 해소,,4,360,1,N,33.324836,126.8391764,33.3247962,126.8426795,,제주특별자치도 서귀포시 교통행정과,064-760-3295,2022-12-15,6520000,제주특별자치도 서귀포시
제주특별자치도,서귀포시,글로벌에듀로145번길,교통불편 해소,,4,135,1,Y,33.295952,126.2892807,33.2958924,126.2901563,,제주특별자치도 서귀포시 교통행정과,064-760-3295,2022-12-15,6520000,제주특별자치도 서귀포시
인천광역시,남동구,서창남순환로215번길,원활한 차량통행을 위하여 지정,2014,12,264,2,Y,37.424944,126.747892,37.425879,126.747306,,인천광역시 남동구청,032-453-2965,2022-11-29,3530000,인천광역시 남동구
인천광역시,남동구,서창남순환로216번길,원활한 차량통행을 위하여 지정,2014,12,200,2,Y,37.422425,126.749737,37.423709,126.748837,,인천광역시 남동구청,032-453-2965,2022-11-29,3530000,인천광역시 남동구
인천광역시,남동구,독곡로48번길,원활한 차량통행을 위하여 지정,2005,6,123.9,1,N,37.434164,126.748742,37.435363,126.747555,,인천광역시 남동구청,032-453-2965,2022-11-29,3530000,인천광역시 남동구
인천광역시,남동구,소래역로46번길,원활한 차량통행을 위하여 지정,2014,15,221,1,Y,37.401078,126.734367,37.402027,126.736759,,인천광역시 남동구청,032-453-2965,2022-11-29,3530000,인천광역시 남동구
인천광역시,남동구,장도로,원활한 차량통행을 위하여 지정,2014,16,497,1,Y,37.402027,126.736769,37.398182,126.738209,,인천광역시 남동구청,032-453-2965,2022-11-29,3530000,인천광역시 남동구
인천광역시,남동구,소래역남로,원활한 차량통행을 위하여 지정,2014,12,126,2,Y,37.398409,126.733906,37.398962,126.735749,,인천광역시 남동구청,032-453-2965,2022-11-29,3530000,인천광역시 남동구
인천광역시,남동구,인주대로914번길,원활한 차량통행을 위하여 지정,2018,7,82.5,1,Y,37.447681,126.738195,37.447681,126.738195,,인천광역시 남동구청,032-453-2965,2022-11-29,3530000,인천광역시 남동구
인천광역시,남동구,논현고잔로128번길,원활한 차량통행을 위하여 지정,2019,3.5,52,1,N,37.393899,126.715209,37.393899,126.715209,,인천광역시 남동구청,032-453-2965,2022-11-29,3530000,인천광역시 남동구
인천광역시,남동구,서창남로,원활한 차량통행을 위하여 지정,2019,6,225,1,Y,37.421561,126.752059,37.422032,126.751814,,인천광역시 남동구청,032-453-2965,2022-11-29,3530000,인천광역시 남동구
인천광역시,남동구,문화서로16번길,원활한 차량통행을 위하여 지정,2022,5.5,253,1,N,37.444513,126.698361,37.446674,126.698638,,인천광역시 남동구청,032-453-2965,2022-11-29,3530000,인천광역시 남동구
경상북도,구미시,1공단로,통행원활,,6,115,1,N,36.10108716,128.3834124,36.101128,128.384694,GM-1공단로-상-1,경상북도 구미시청,054-480-6114,2022-11-28,5080000,경상북도 구미시
경상북도,구미시,1공단로,통행원활,,6,245,1,Y,36.101657,128.384719,36.099324,128.384736,GM-1공단로-하-2,경상북도 구미시청,054-480-6114,2022-11-28,5080000,경상북도 구미시
경상북도,구미시,3공단1로,통행원활,,6,150,1,Y,36.110036,128.402307,36.110049,128.404091,,경상북도 구미시청,054-480-6114,2022-11-28,5080000,경상북도 구미시
경상북도,구미시,경은로,통행원활,,6,730,1,Y,36.114476,128.336978,36.114383,128.336989,,경상북도 구미시청,054-480-6114,2022-11-28,5080000,경상북도 구미시
경상북도,구미시,구미대로,통행원활,,6,245,2,Y,36.117559,128.364493,36.118811,128.362789,,경상북도 구미시청,054-480-6114,2022-11-28,5080000,경상북도 구미시
경상북도,구미시,구미대로30길,통행원활,,6,160,2,Y,36.117409,128.362792,36.117382,128.364475,,경상북도 구미시청,054-480-6114,2022-11-28,5080000,경상북도 구미시
경상북도,구미시,구미중앙로,통행원활,,6,170,1,N,36.129917,128.329114,36.131181,128.328507,,경상북도 구미시청,054-480-6114,2022-11-28,5080000,경상북도 구미시
경상북도,구미시,구미중앙로11길,통행원활,,6,200,1,Y,36.129401,128.330201,36.131101,128.331201,,경상북도 구미시청,054-480-6114,2022-11-28,5080000,경상북도 구미시
경상북도,구미시,구미중앙로13길,통행원활,,6,200,1,Y,36.130301,128.333001,36.128701,128.332001,,경상북도 구미시청,054-480-6114,2022-11-28,5080000,경상북도 구미시
경상북도,구미시,구미중앙로15길,통행원활,,6,200,1,N,36.128251,128.332982,36.129954,128.334044,,경상북도 구미시청,054-480-6114,2022-11-28,5080000,경상북도 구미시
경상북도,구미시,구미중앙로17길,통행원활,,6,200,1,Y,36.129601,128.334901,36.127901,128.333801,,경상북도 구미시청,054-480-6114,2022-11-28,5080000,경상북도 구미시
경상북도,구미시,구미중앙로19길,통행원활,,6,200,1,N,36.127564,128.334687,36.129268,128.335733,,경상북도 구미시청,054-480-6114,2022-11-28,5080000,경상북도 구미시
경상북도,포항시,상도로 16번길,,,6,349,1,N,36.01025565,129.3559498,36.01056663,129.3530757,,경상북도 포항시,054-270-3634,2020-10-27,5020000,경상북도 포항시
경기도,여주시,청심로,보행안전,2016,8,320,1,N,37.2983090000,127.6349430000,37.2959010000,127.6332210000,,경기도 여주시청,031-887-2623,2022-11-01,5700000,경기도 여주시
경기도,여주시,청심로,보행안전,2016,8,80,1,N,37.2990900001,127.6352520000,37.0984480000,127.6350370000,,경기도 여주시청,031-887-2623,2022-11-01,5700000,경기도 여주시
경기도,여주시,세종로,보행안전,2012,8,150,1,N,37.2896800001,127.6348250000,37.2913740000,127.6366310000,,경기도 여주시청,031-887-2623,2022-11-01,5700000,경기도 여주시
경기도,여주시,세종로,보행안전,2012,8,300,1,N,37.2915120000,127.6360470000,37.2892340000,127.6356370000,,경기도 여주시청,031-887-2623,2022-11-01,5700000,경기도 여주시
경기도,여주시,세종로,보행안전,2012,8,215,1,N,37.2907780000,127.6351240000,37.2905020000,127.6363310000,,경기도 여주시청,031-887-2623,2022-11-01,5700000,경기도 여주시
강원도,춘천시,시청길,,,16,370,3,Y,37.880454,127.728019,37.881789,127.731706,,강원도 춘천시청,033-250-3415,2022-11-25,4180000,강원도 춘천시
강원도,춘천시,소양1교,,,8,400,1,N,37.893711,127.732699,37.897398,127.733759,,강원도 춘천시청,033-250-3415,2022-11-25,4180000,강원도 춘천시
강원도,춘천시,낙원길,,,8,350,1,N,37.880773,127.726922,37.878232,127.724453,,강원도 춘천시청,033-250-3415,2022-11-25,4180000,강원도 춘천시
강원도,춘천시,서부대성로44번길,,,8,480,1,N,37.880951,127.726963,37.885270,127.728563,,강원도 춘천시청,033-250-3415,2022-11-25,4180000,강원도 춘천시
강원도,춘천시,서부대성로48번길,,,8,430,1,N,37.881321,127.727521,37.884859,127.729039,,강원도 춘천시청,033-250-3415,2022-11-25,4180000,강원도 춘천시
강원도,춘천시,시청길10번길,,,8,200,1,N,37.880305,127.728665,37.878866,127.729824,,강원도 춘천시청,033-250-3415,2022-11-25,4180000,강원도 춘천시
강원도,춘천시,시청길12번길,,,8,170,1,N,37.879051,127.730113,37.880276,127.729054,,강원도 춘천시청,033-250-3415,2022-11-25,4180000,강원도 춘천시
강원도,춘천시,중앙로27번길,,,8,120,1,N,37.882346,127.728713,37.881993,127.730000,,강원도 춘천시청,033-250-3415,2022-11-25,4180000,강원도 춘천시
강원도,춘천시,옥천길,,,12,150,2,Y,37.882405,127.730752,37.881606,127.729545,,강원도 춘천시청,033-250-3415,2022-11-25,4180000,강원도 춘천시
강원도,춘천시,옥천길(뒷길),,,8,50,1,N,37.881619,127.728917,37.881165,127.728736,,강원도 춘천시청,033-250-3415,2022-11-25,4180000,강원도 춘천시
강원도,춘천시,애막골길16번길,,,8,100,1,Y,37.863900,127.750055,37.864571,127.750846,,강원도 춘천시청,033-250-3415,2022-11-25,4180000,강원도 춘천시
강원도,춘천시,방송길7번길(춘천초등학교방향),,,8,90,1,Y,37.876154,127.721378,37.875646,127.721626,,강원도 춘천시청,033-250-3415,2022-11-25,4180000,강원도 춘천시
경상북도,포항시,희망대로,,,7,63,1,N,36.00940133,129.3526557,36.00994098,129.3528187,,경상북도 포항시,054-270-3634,2020-10-27,5020000,경상북도 포항시
경상북도,포항시,상도로8번길,,,7,62,1,N,36.00998573,129.3528339,36.01052071,129.3530051,,경상북도 포항시,054-270-3634,2020-10-27,5020000,경상북도 포항시
경상북도,포항시,상도로16번길,,,7,29,1,N,36.01060132,129.3530296,36.01088575,129.353113,,경상북도 포항시,054-270-3634,2020-10-27,5020000,경상북도 포항시
경상북도,포항시,상도로 26번길,,,7,45,1,N,36.010926,129.353128,36.01134903,129.3532654,,경상북도 포항시,054-270-3634,2020-10-27,5020000,경상북도 포항시
경상북도,포항시,상도로 8번길,,,7,398,1,N,36.01018828,129.3516949,36.0096102,129.3561274,,경상북도 포항시,054-270-3634,2020-10-27,5020000,경상북도 포항시
경상남도,김해시,금관대로1364번길,,2022,5,60,1,N,35.244336,128.867256,35.244375,128.866773,,경상남도 김해중부경찰서,055-344-8354,2022-06-17,5350000,경상남도 김해시
강원도,삼척시,중앙시장2길,통행안전,,3,90,1,Y,37.443455,129.167806,34.443374,129.165731,,강원도 삼척시,033-570-3478,2022-07-01,4240000,강원도 삼척시
강원도,삼척시,대학로,통행안전,,3,300,1,N,37.441202,129.163448,37.443907,129.163241,,강원도 삼척시,033-570-3478,2022-07-01,4240000,강원도 삼척시
강원도,삼척시,중앙시장1길,통행안전,,3,190,1,Y,37.441391,129.167732,37.441365,129.165864,,강원도 삼척시,033-570-3478,2022-07-01,4240000,강원도 삼척시
강원도,삼척시,진주로,통행안전,,3,80,1,N,37.441117,129.165771,37.441054,129.164175,,강원도 삼척시,033-570-3478,2022-07-01,4240000,강원도 삼척시
강원도,삼척시,수로부인길,통행안전,,3,200,1,N,37.465895,129.152285,37.466536,129.150433,,강원도 삼척시,033-570-3478,2022-07-01,4240000,강원도 삼척시
강원도,삼척시,원당로2길,통행안전,,3,200,1,N,37.439455,129.154724,37.437313,129.153437,,강원도 삼척시,033-570-3478,2022-07-01,4240000,강원도 삼척시
경기도,연천군,도시계획도로(소3-전곡27),원활한교통통행,,6,114,1,N,38.277284,127.067513,38.027015,127.066413,1,경기도 연천군청 건설과 도로관리팀,031-839-2371,2022-06-30,4140000,경기도 연천군
경기도,연천군,도시계획도로(소3-전곡29),원활한교통통행,,6,53,1,N,38.025521,127.067786,38.025324,127.066953,2,경기도 연천군청 건설과 도로관리팀,031-839-2371,2022-06-30,4140000,경기도 연천군
경상북도,포항시,대이로 111번길,,,7,184,1,N,36.02479744,129.3389414,36.02516275,129.3408822,,경상북도 포항시,054-270-3634,2020-10-27,5020000,경상북도 포항시
경상북도,포항시,중흥로 70번길,,,5,228,1,N,36.01234198,129.3508745,36.0105967,129.3494753,,경상북도 포항시,054-270-3634,2020-10-27,5020000,경상북도 포항시
경상북도,포항시,중흥로 70번길,,,5,146,1,N,36.01162113,129.3493838,36.01135642,129.3509368,,경상북도 포항시,054-270-3634,2020-10-27,5020000,경상북도 포항시
경상북도,포항시,중섬로,,,7,225,1,N,36.01222958,129.3516669,36.0104796,129.3502786,,경상북도 포항시,054-270-3634,2020-10-27,5020000,경상북도 포항시
경상북도,포항시,중흥로58번길,,,7,64,1,N,36.01038185,129.3502092,36.00992506,129.3498407,,경상북도 포항시,054-270-3634,2020-10-27,5020000,경상북도 포항시
경상북도,포항시,상도로25번길,,,7,114,1,N,36.01151087,129.3525937,36.01174234,129.3513585,,경상북도 포항시,054-270-3634,2020-10-27,5020000,경상북도 포항시
경상북도,포항시,상도로15번길,,,6,120,1,N,36.01096578,129.350756,36.0107615,129.3519837,,경상북도 포항시,054-270-3634,2020-10-27,5020000,경상북도 포항시
경상북도,포항시,대이로 95번길,,,5,107,1,N,36.02364574,129.340707,36.02362324,129.3394363,,경상북도 포항시,054-270-3634,2020-10-27,5020000,경상북도 포항시
경상북도,포항시,대이로 95번길,,,7,104,1,N,36.02372634,129.3399246,36.02488542,129.339396,,경상북도 포항시,054-270-3634,2020-10-27,5020000,경상북도 포항시
서울특별시,강서구,곰달래로36길,,,5.5,185,1,N,37.529373,126.853991,37.531059,126.853664,,서울특별시 강서구,02-2600-4136,2022-03-14,3150000,서울특별시 강서구
서울특별시,강서구,강서로10길,,,5.5,185,1,N,37.530951,126.852812,37.529263,126.853150,,서울특별시 강서구,02-2600-4136,2022-03-14,3150000,서울특별시 강서구
서울특별시,강서구,강서로5라길,,,5.5,580,1,N,37.529573,126.851690,37.530385,126.858121,,서울특별시 강서구,02-2600-4136,2022-03-14,3150000,서울특별시 강서구
서울특별시,강서구,곰달래로31다길,,,7.5,220,1,Y,37.533535,126.853772,37.533392,126.851250,,서울특별시 강서구,02-2600-4136,2022-03-14,3150000,서울특별시 강서구
서울특별시,강서구,곰달래로31가길,,,7.5,190,1,Y,37.531827,126.851360,37.532068,126.853472,,서울특별시 강서구,02-2600-4136,2022-03-14,3150000,서울특별시 강서구
서울특별시,강서구,등촌로13자길,,,5.5,130,1,N,37.537034,126.853870,37.536145,126.853017,,서울특별시 강서구,02-2600-4136,2022-03-14,3150000,서울특별시 강서구
서울특별시,강서구,화곡로21길,,,9,450,1,N,37.544703,126.836119,37.540700,126.836846,,서울특별시 강서구,02-2600-4136,2022-03-14,3150000,서울특별시 강서구
서울특별시,강서구,화곡로15길,,,7.5,550,1,N,37.539911,126.833857,37.544700,126.835696,,서울특별시 강서구,02-2600-4136,2022-03-14,3150000,서울특별시 강서구
서울특별시,강서구,강서로35길,,,5.5,445,1,N,37.542318,126.833028,37.543115,126.838853,,서울특별시 강서구,02-2600-4136,2022-03-14,3150000,서울특별시 강서구
서울특별시,강서구,강서로45다길,,,5.5,340,1,N,37.544780,126.835002,37.547875,126.834905,,서울특별시 강서구,02-2600-4136,2022-03-14,3150000,서울특별시 강서구
서울특별시,강서구,강서로45다길,,,5.5,250,1,N,37.544694,126.834997,37.542483,126.834239,,서울특별시 강서구,02-2600-4136,2022-03-14,3150000,서울특별시 강서구
서울특별시,강서구,강서로41길,,,5.5,100,1,Y,37.545079,126.835951,37.545076,126.835915,,서울특별시 강서구,02-2600-4136,2022-03-14,3150000,서울특별시 강서구
서울특별시,강서구,강서로8길,,,7.5,300,1,N,37.530845,126.858133,37.531472,126.863735,,서울특별시 강서구,02-2600-4136,2022-03-14,3150000,서울특별시 강서구
서울특별시,강서구,등촌로13바길,,,5.5,305,1,N,37.537066,126.857156,37.534921,126.859305,,서울특별시 강서구,02-2600-4136,2022-03-14,3150000,서울특별시 강서구
서울특별시,강서구,등촌로13다길,,,5.5,310,1,N,37.534674,126.858929,37.536822,126.856776,,서울특별시 강서구,02-2600-4136,2022-03-14,3150000,서울특별시 강서구
서울특별시,강서구,곰달래로60길,,,7.5,160,1,N,37.529926,126.863232,37.531365,126.863083,,서울특별시 강서구,02-2600-4136,2022-03-14,3150000,서울특별시 강서구
